,date,open,high,low,close,volume
0,2000-08-01,65.3125,69.25,65.0,69.0,9298200
1,2000-08-02,69.0,71.375,68.0625,70.3125,7762200
2,2000-08-03,68.875,71.625,68.875,70.1875,5829000
3,2000-08-04,70.5625,71.375,67.5625,69.125,5847600
4,2000-08-07,69.1875,72.25,67.8125,72.125,7908000
5,2000-08-08,71.8125,72.0,69.34375,69.5,6420100
6,2000-08-09,70.1875,70.5,68.875,68.9375,5265800
7,2000-08-10,69.0,69.1875,67.25,67.9375,4668700
8,2000-08-11,68.625,69.9375,66.75,69.6875,4336700
9,2000-08-14,69.625,69.875,68.0625,69.4375,3320500
10,2000-08-15,69.375,69.5,67.125,67.75,5147100
11,2000-08-16,69.0,69.625,67.5,67.6875,4312000
12,2000-08-17,68.75,69.4375,67.625,67.8125,5090600
13,2000-08-18,67.375,67.9375,65.8125,65.875,5871600
14,2000-08-21,66.875,68.9375,66.375,67.25,4673300
15,2000-08-22,67.75,69.625,67.6875,69.0625,5550200
16,2000-08-23,71.0,71.5,69.125,70.5625,7099700
17,2000-08-24,70.75,73.25,70.75,72.625,6144800
18,2000-08-25,73.0625,75.625,72.9375,74.625,6089400
19,2000-08-28,74.875,76.0,72.875,73.75,4627700
20,2000-08-29,74.5,74.625,72.0,72.125,5194100
21,2000-08-30,72.3125,73.75,71.75,73.0625,4622300
22,2000-08-31,73.25,76.625,72.6875,75.8125,7785200
23,2000-09-01,76.5625,76.625,74.1875,76.4375,4917600
24,2000-09-05,76.0,76.0,71.875,72.5,7469600
25,2000-09-06,72.5,73.0,68.0,68.0625,9203300
26,2000-09-07,69.6875,73.125,69.625,72.0,7854100
27,2000-09-08,72.8125,76.3125,71.1875,74.9375,8089800
28,2000-09-11,74.125,74.875,72.0,72.25,6646200
29,2000-09-12,72.0,74.125,71.375,72.75,4767700
30,2000-09-13,72.375,72.5,71.25,71.9375,5692500
31,2000-09-14,71.875,71.875,65.1875,67.4375,21630800
32,2000-09-15,68.75,69.625,66.625,67.625,12453900
33,2000-09-18,68.375,68.5625,64.9375,65.1875,5783700
34,2000-09-19,66.0,67.8125,64.125,65.6875,6249100
35,2000-09-20,66.75,69.375,66.0,69.125,5918400
36,2000-09-21,68.5,69.5,67.3125,68.4375,4976100
37,2000-09-22,68.25,72.125,68.25,72.0625,7185400
38,2000-09-25,72.0625,73.875,69.125,69.6875,6932500
39,2000-09-26,69.9375,72.0,68.9375,71.5625,5887200
40,2000-09-27,70.5,71.875,69.6875,71.375,5427600
41,2000-09-28,70.40625,71.0,68.5,70.25,7519100
42,2000-09-29,70.625,71.375,69.125,69.828125,5732900
43,2000-10-02,70.3125,70.4375,65.125,65.75,8224700
44,2000-10-03,67.96875,69.0,66.5,66.75,5578400
45,2000-10-04,67.25,67.3125,63.5,64.4375,8179500
46,2000-10-05,64.0,67.5,64.0,66.625,4932400
47,2000-10-06,66.625,67.0,61.5,63.0625,6830400
48,2000-10-09,63.375,64.6875,62.0,63.1875,3295700
49,2000-10-10,62.78125,63.875,60.625,60.6875,7811600
50,2000-10-11,59.75,67.5625,59.5,65.6875,7110600
51,2000-10-12,65.375,65.375,59.9375,61.875,10082700
52,2000-10-13,60.4375,65.0,60.375,64.875,4694800
53,2000-10-16,65.375,66.125,61.8125,63.8125,7142600
54,2000-10-17,65.625,65.625,63.1875,63.875,6197300
55,2000-10-18,62.125,68.5,61.375,67.5625,8272400
56,2000-10-19,67.6875,68.75,65.8125,67.8125,4956800
57,2000-10-20,67.5,69.5,67.125,68.75,4956500
58,2000-10-23,68.9375,71.875,68.1875,70.9375,6250300
59,2000-10-24,71.75,72.625,70.0,71.375,5965700
60,2000-10-25,70.875,71.5,68.375,68.625,7707200
61,2000-10-26,68.0,68.8125,65.0,68.5,10354700
62,2000-10-27,61.75,62.375,58.25,59.3125,33036800
63,2000-10-30,58.6875,58.875,51.390625,54.125,27864900
64,2000-10-31,56.3125,58.25,55.6875,57.9375,14302500
65,2000-11-01,58.3125,61.875,57.6875,60.359375,10085100
66,2000-11-02,60.5625,61.75,60.0625,61.4375,7776000
67,2000-11-03,61.625,61.625,59.625,59.8125,5144000
68,2000-11-06,60.609375,61.375,59.625,59.875,7531100
69,2000-11-07,60.5,62.1875,59.0625,61.8125,6485000
