,date,open,high,low,close,volume
0,2000-08-01,48.8125,49.5,48.6875,48.6875,3226800
1,2000-08-02,48.875,49.9375,48.875,49.875,4383700
2,2000-08-03,49.875,49.9375,48.8125,49.0,3226900
3,2000-08-04,49.0,49.125,48.3125,49.0,2419800
4,2000-08-07,49.0,49.5,48.5,49.0625,2113900
5,2000-08-08,49.0625,49.1875,48.375,48.5625,3384000
6,2000-08-09,48.5625,48.625,47.125,47.75,4282500
7,2000-08-10,47.75,48.875,47.5625,48.875,2544700
8,2000-08-11,48.875,49.9375,48.5,49.625,3283700
9,2000-08-14,49.625,49.875,49.3125,49.5,2855800
10,2000-08-15,48.75,48.75,47.25,47.25,3963800
11,2000-08-16,46.875,46.875,45.875,46.1875,6353200
12,2000-08-17,46.125,46.125,45.75,45.875,2810800
13,2000-08-18,45.875,46.0625,45.3125,45.6875,4070600
14,2000-08-21,45.6875,48.25,45.5,47.75,4090800
15,2000-08-22,47.75,49.4375,47.625,49.3125,4683200
16,2000-08-23,49.3125,50.9375,48.875,50.5625,6971500
17,2000-08-24,50.5625,54.0,50.1875,53.625,10890300
18,2000-08-25,53.625,54.5,53.375,54.125,7671400
19,2000-08-28,54.0,54.0,52.9375,53.25,4972200
20,2000-08-29,53.125,53.125,52.25,52.3125,4000400
21,2000-08-30,52.3125,53.0,51.9375,52.5,3673400
22,2000-08-31,52.5,54.875,52.25,53.640625,3762800
23,2000-09-01,53.75,56.25,53.75,54.75,5092500
24,2000-09-05,54.75,56.25,54.0,55.4375,3704900
25,2000-09-06,55.5625,58.625,55.5625,57.8125,7974100
26,2000-09-07,57.8125,59.9375,57.0,58.5,10908200
27,2000-09-08,58.5,59.0,57.625,58.125,6699000
28,2000-09-11,58.125,59.4375,57.6875,58.625,4335700
29,2000-09-12,58.625,60.0625,58.125,59.0,5650100
30,2000-09-13,59.0,60.125,58.75,59.4375,4108800
31,2000-09-14,58.875,58.875,57.6875,58.375,4277100
32,2000-09-15,58.375,59.1875,56.75,56.875,5906200
33,2000-09-18,56.875,58.5625,56.625,56.9375,3178700
34,2000-09-19,56.9375,57.5625,56.25,56.75,4221300
35,2000-09-20,56.9375,60.0625,56.9375,59.0625,6389400
36,2000-09-21,59.25,60.6875,59.25,60.0,6181200
37,2000-09-22,60.0,64.3125,59.0,63.5,6837500
