,date,open,high,low,close,volume
0,2000-08-01,17.0625,17.21875,17.0625,17.15625,4007600
1,2000-08-02,17.1875,17.59375,17.1875,17.5,3722000
2,2000-08-03,17.5,17.875,17.125,17.53125,3375200
3,2000-08-04,17.53125,17.53125,17.1875,17.421875,2018200
4,2000-08-07,17.421875,18.46875,17.28125,18.34375,4035600
5,2000-08-08,18.40625,19.40625,18.40625,19.1875,7056400
6,2000-08-09,19.1875,19.1875,18.78125,18.78125,2906800
7,2000-08-10,18.78125,19.0625,18.6875,18.75,1964000
8,2000-08-11,18.75,19.5,18.625,19.3125,2813800
9,2000-08-14,19.3125,19.53125,19.15625,19.53125,4096600
10,2000-08-15,19.53125,19.75,19.125,19.328125,2535400
11,2000-08-16,19.328125,19.65625,19.21875,19.3125,2873200
12,2000-08-17,19.3125,19.40625,19.09375,19.125,1760600
13,2000-08-18,19.125,19.28125,18.84375,19.09375,1970800
14,2000-08-21,19.09375,19.15625,18.6875,18.84375,1527600
15,2000-08-22,18.84375,19.0,18.6875,18.90625,1907600
16,2000-08-23,18.90625,18.9375,18.53125,18.5625,1962400
17,2000-08-24,18.5625,18.84375,18.5,18.84375,2351800
18,2000-08-25,18.84375,18.90625,18.625,18.8125,1400200
19,2000-08-28,18.8125,18.875,18.3125,18.59375,2669000
20,2000-08-29,18.875,19.5625,18.875,19.03125,4115000
21,2000-08-30,19.03125,19.21875,18.34375,18.78125,3988200
22,2000-08-31,18.78125,18.9375,18.25,18.3828125,4834600
23,2000-09-01,18.3828125,18.75,18.125,18.65625,2563800
24,2000-09-05,18.65625,19.40625,18.53125,19.03125,2875600
25,2000-09-06,19.03125,19.625,19.03125,19.34375,2900600
26,2000-09-07,19.34375,19.53125,19.03125,19.03125,4777600
27,2000-09-08,19.03125,19.125,18.75,18.90625,3091600
28,2000-09-11,18.90625,19.65625,18.875,19.15625,2521800
29,2000-09-12,19.15625,19.40625,18.875,19.0,3190600
30,2000-09-13,19.125,19.625,19.125,19.34375,2132000
31,2000-09-14,19.40625,19.8125,19.40625,19.625,4188200
32,2000-09-15,19.21875,19.21875,18.59375,18.71875,6007800
33,2000-09-18,18.65625,18.65625,17.71875,18.03125,5579000
34,2000-09-19,18.03125,18.09375,17.3125,17.75,5201200
35,2000-09-20,17.75,17.84375,17.46875,17.59375,3515000
36,2000-09-21,17.59375,17.84375,17.375,17.40625,2412400
37,2000-09-22,17.40625,17.84375,17.28125,17.5625,2605400
38,2000-09-25,17.5625,18.0,17.53125,17.75,2056400
39,2000-09-26,17.6875,17.6875,17.25,17.5,2804800
40,2000-09-27,17.375,17.375,16.25,16.75,7458600
41,2000-09-28,16.75,17.375,16.3125,17.0,4866000
42,2000-09-29,17.0,17.375,14.5,15.5,3578400
43,2000-10-02,15.5,17.125,15.5,17.125,6628600
44,2000-10-03,17.125,18.0,17.09375,17.53125,4416200
45,2000-10-04,17.53125,17.96875,17.40625,17.5625,3534400
46,2000-10-05,17.5625,17.8125,17.4375,17.5,2774200
47,2000-10-06,17.5,17.84375,17.25,17.25,2549400
48,2000-10-09,17.25,17.5,17.1875,17.28125,1319200
49,2000-10-10,17.21875,17.21875,16.65625,16.6875,2709600
50,2000-10-11,16.6875,17.0,16.28125,16.625,3741000
51,2000-10-12,16.625,16.625,15.59375,15.9375,4800400
52,2000-10-13,15.90625,15.90625,15.4375,15.84375,3551000
53,2000-10-16,15.84375,16.0625,15.65625,15.875,3422000
54,2000-10-17,15.875,16.03125,15.1875,15.25,3269600
55,2000-10-18,15.0625,15.0625,14.78125,14.90625,5565800
56,2000-10-19,15.03125,15.40625,15.03125,15.25,3147000
57,2000-10-20,15.25,15.59375,15.1875,15.34375,2370200
58,2000-10-23,15.34375,15.9375,15.34375,15.71875,2725600
59,2000-10-24,15.78125,16.125,15.78125,15.9375,3443800
60,2000-10-25,15.9375,16.0,15.5625,15.65625,2413200
61,2000-10-26,15.65625,16.15625,15.53125,15.90625,2656600
62,2000-10-27,16.0,16.4375,16.0,16.4375,3200600
63,2000-10-30,16.4375,17.875,16.25,17.46875,5737800
