,date,open,high,low,close,volume
0,2000-08-01,64.75,65.625,62.3125,63.1875,34942900
1,2000-08-02,63.25,64.5,60.75,60.9375,45361900
2,2000-08-03,59.625,64.875,58.5,64.375,61286400
3,2000-08-04,65.53125,66.875,64.5625,65.5625,41593000
4,2000-08-07,66.203125,67.25,65.25,66.25,39458000
5,2000-08-08,66.0,66.9375,64.875,65.5,46360200
6,2000-08-09,68.875,70.0,67.25,67.8125,94337400
7,2000-08-10,66.625,66.625,63.125,63.375,59673700
8,2000-08-11,62.8125,64.875,62.0,64.3125,48999400
9,2000-08-14,64.0,64.5625,62.375,64.5,29087500
10,2000-08-15,64.1875,64.8125,62.9375,63.1875,33757400
11,2000-08-16,63.5,64.25,62.3125,63.0625,35195300
12,2000-08-17,62.875,64.5,62.265625,63.4375,34739500
13,2000-08-18,63.5625,64.3125,63.0,63.5,41693400
14,2000-08-21,64.125,65.5,64.125,65.5,41781800
15,2000-08-22,65.5625,66.4375,64.5,64.8125,40985800
16,2000-08-23,64.5,67.25,64.1875,67.1875,43615700
17,2000-08-24,67.3125,67.5,65.625,66.5,26958500
18,2000-08-25,66.375,67.0,65.5,65.5,21182500
19,2000-08-28,65.75,67.03125,65.625,66.0625,25397800
20,2000-08-29,66.0625,67.375,65.75,66.5625,25801700
21,2000-08-30,66.375,66.9375,66.1875,66.5625,24561800
22,2000-08-31,66.9375,68.9375,66.8125,68.625,46835300
23,2000-09-01,68.875,69.625,68.125,68.5625,33141800
24,2000-09-05,67.5625,68.3125,65.625,66.0,32365000
25,2000-09-06,66.375,66.9375,63.5,64.25,37317100
26,2000-09-07,65.0,66.6875,64.25,66.25,30302700
27,2000-09-08,65.75,65.9375,63.3125,63.875,35967700
28,2000-09-11,63.5,63.875,60.875,61.1875,53535500
29,2000-09-12,61.515625,62.875,58.125,58.875,76982100
30,2000-09-13,58.25,61.859375,58.0,61.3125,75426600
31,2000-09-14,62.625,63.3125,60.546875,61.25,48069600
32,2000-09-15,61.375,63.75,59.8125,62.75,75803700
33,2000-09-18,61.5625,62.5625,58.5,60.0625,59433800
34,2000-09-19,59.9375,62.0625,59.0625,62.0,50635000
35,2000-09-20,61.3125,63.625,61.0,63.125,61998200
36,2000-09-21,61.5625,62.875,60.0625,61.125,48728100
37,2000-09-22,58.5,60.5,58.4375,60.3125,55306500
38,2000-09-25,60.71875,61.359375,56.875,57.1875,59634900
39,2000-09-26,58.1875,59.1875,55.125,55.1875,72577600
40,2000-09-27,56.5,57.625,55.3125,57.3125,56557200
41,2000-09-28,56.375,59.75,54.625,59.4375,90508900
42,2000-09-29,58.859375,59.3125,55.1875,55.25,44248700
43,2000-10-02,57.375,58.96875,54.59375,55.5,76637400
44,2000-10-03,57.0,59.375,55.9375,56.25,65208200
45,2000-10-04,56.5625,59.0625,55.25,58.5625,56870600
46,2000-10-05,57.8125,58.875,56.25,57.5625,47457200
47,2000-10-06,57.3125,58.25,54.625,56.1875,54803700
48,2000-10-09,55.4375,55.5625,52.875,53.6875,45976900
49,2000-10-10,53.0,54.375,50.6875,51.125,61859800
50,2000-10-11,48.75,53.375,48.21875,51.1875,93499900
51,2000-10-12,52.625,53.625,49.25,49.8125,78347800
52,2000-10-13,49.0625,56.1875,49.0625,56.0625,73929500
53,2000-10-16,55.1875,55.75,53.875,54.5,51407200
54,2000-10-17,55.4375,56.0,53.375,54.5625,52349400
55,2000-10-18,52.75,54.765625,50.0,52.25,66281300
56,2000-10-19,55.0625,59.125,54.25,58.25,72023700
57,2000-10-20,57.625,59.4375,56.75,57.3125,51194000
58,2000-10-23,56.25,57.75,54.9375,55.875,45486800
59,2000-10-24,56.5625,57.25,54.0625,54.875,46524900
60,2000-10-25,51.5625,53.5625,50.5,50.625,68796400
61,2000-10-26,51.375,54.125,50.0,53.5625,83351700
62,2000-10-27,54.625,54.625,50.3125,50.6875,71866300
63,2000-10-30,49.1875,49.6875,45.25,48.0625,7360400
64,2000-10-31,48.375,54.5,48.1875,53.875,87881100
65,2000-11-01,52.875,54.875,51.0625,52.125,76320300
66,2000-11-02,52.8125,56.0,52.625,55.75,57679400
67,2000-11-03,55.375,57.125,54.0625,56.75,59242000
68,2000-11-06,55.9375,57.0,54.875,55.125,72645200
69,2000-11-07,54.1875,57.625,53.0,56.75,97458000
70,2000-11-08,55.875,56.6875,52.0,52.125,59053700
71,2000-11-09,50.9375,53.5,50.5,53.25,70492400
72,2000-11-10,51.9375,53.125,50.0,50.0625,58042300
73,2000-11-13,48.8125,52.375,48.0,50.375,75162400
74,2000-11-14,52.3125,53.5625,51.8125,53.125,59774300
75,2000-11-15,52.9375,54.359375,51.4375,53.5625,51065300
76,2000-11-16,52.875,53.1875,50.8125,51.0625,32594500
77,2000-11-17,51.25,53.6875,50.5,52.75,49838500
78,2000-11-20,50.0625,52.6875,49.9375,51.25,51552800
79,2000-11-21,50.9375,54.1875,50.5,53.6875,57419900
80,2000-11-22,52.5625,54.5,50.375,50.5625,48342200
