,date,open,high,low,close,volume
0,2000-08-01,39.25,40.09375,39.25,39.4375,2891600
1,2000-08-02,39.6875,40.125,39.6875,39.90625,3739200
2,2000-08-03,40.125,40.5,39.4375,40.0,3113800
3,2000-08-04,39.34375,40.125,38.8125,39.6640625,3283000
4,2000-08-07,39.84375,40.78125,39.8125,40.3515625,2206600
5,2000-08-08,40.0,40.375,39.84375,40.1796875,2108200
6,2000-08-09,40.75,41.625,40.53125,41.296875,4060600
7,2000-08-10,41.3125,42.15625,41.3125,41.9375,2548800
8,2000-08-11,41.90625,42.28125,41.5625,42.0,3094600
9,2000-08-14,41.625,42.34375,41.625,42.1875,2507600
10,2000-08-15,42.25,42.625,41.75,41.75,2118000
11,2000-08-16,41.8125,42.8125,41.8125,42.7265625,3550000
12,2000-08-17,42.71875,43.875,42.5625,43.59375,3080200
13,2000-08-18,42.84375,43.4375,42.84375,43.015625,3106800
14,2000-08-21,43.09375,43.59375,42.75,43.375,1498800
15,2000-08-22,43.5,43.84375,43.125,43.3125,1903600
16,2000-08-23,43.8125,44.84375,43.59375,44.4375,4678000
17,2000-08-24,43.3125,43.46875,42.9375,43.09375,3075600
18,2000-08-25,43.28125,43.75,42.84375,43.4375,2516400
19,2000-08-28,43.0625,44.03125,42.9375,43.46875,1837600
20,2000-08-29,43.4375,43.6875,42.96875,43.0,1724400
21,2000-08-30,42.90625,42.96875,42.46875,42.5546875,1886400
22,2000-08-31,42.8125,42.96875,42.1875,42.2578125,2609800
23,2000-09-01,42.34375,43.28125,42.34375,42.734375,3277000
24,2000-09-05,43.15625,43.59375,42.71875,42.96875,1721600
25,2000-09-06,43.28125,44.34375,43.28125,44.0625,2794000
26,2000-09-07,44.75,44.75,44.09375,44.15625,3450000
27,2000-09-08,43.6875,43.96875,43.125,43.34375,2740600
28,2000-09-11,43.34375,45.0,43.34375,44.65625,3479000
29,2000-09-12,44.4375,44.75,43.96875,44.28125,3381400
30,2000-09-13,44.375,44.71875,44.0625,44.3125,2504800
31,2000-09-14,44.3125,44.3125,43.65625,43.7890625,1576600
32,2000-09-15,43.875,45.71875,43.875,45.09375,7437600
33,2000-09-18,45.4375,46.15625,45.0,45.0,5081800
34,2000-09-19,44.8125,44.84375,44.03125,44.03125,3819800
35,2000-09-20,44.6875,45.3125,43.34375,43.5,7055000
36,2000-09-21,43.3125,43.40625,42.3125,42.65625,4706600
37,2000-09-22,42.5625,43.21875,41.84375,42.125,4486600
38,2000-09-25,41.5,41.84375,40.78125,41.3984375,4483400
39,2000-09-26,41.875,42.40625,41.53125,41.65625,4283400
40,2000-09-27,41.71875,42.8125,41.40625,42.71875,3351400
41,2000-09-28,42.71875,42.96875,42.0,42.0703125,3668200
42,2000-09-29,42.34375,43.4375,42.34375,42.625,2704400
43,2000-10-02,43.09375,43.78125,42.9375,43.34375,2319400
44,2000-10-03,43.59375,43.875,43.21875,43.4375,2425200
45,2000-10-04,43.75,43.78125,42.25,42.40625,2891000
46,2000-10-05,42.40625,42.90625,41.71875,42.75,2979000
47,2000-10-06,42.75,43.59375,41.90625,42.1875,2542400
48,2000-10-09,42.40625,43.1875,42.40625,43.0,1701200
49,2000-10-10,43.25,44.0,42.84375,43.59375,3105800
50,2000-10-11,44.46875,44.46875,43.03125,43.3125,6095200
51,2000-10-12,43.3125,44.28125,43.28125,43.65625,8978800
52,2000-10-13,43.34375,43.46875,42.0,42.125,4028600
53,2000-10-16,40.0,41.03125,39.25,41.0,17911000
54,2000-10-17,40.75,41.4375,40.375,41.4375,8662800
55,2000-10-18,41.6875,41.6875,40.875,41.25,4954600
56,2000-10-19,40.9375,41.59375,40.75,41.15625,4096400
57,2000-10-20,41.15625,41.875,41.125,41.71875,5374800
58,2000-10-23,41.75,41.8125,40.9375,41.28125,4619800
59,2000-10-24,41.71875,41.71875,41.0,41.125,5664000
60,2000-10-25,41.25,41.59375,40.5,40.75,3913800
61,2000-10-26,41.5,41.5625,40.90625,41.0,5642400
62,2000-10-27,41.21875,41.21875,40.0,40.15625,2643200
63,2000-10-30,39.6875,40.9375,39.6875,40.8125,3440000
64,2000-10-31,40.8125,41.28125,40.28125,41.0625,3298000
65,2000-11-01,41.375,42.0625,41.28125,41.40625,3368200
66,2000-11-02,41.4375,41.4375,40.25,40.25,4447000
67,2000-11-03,40.59375,40.96875,40.15625,40.53125,4187800
68,2000-11-06,40.46875,41.40625,40.28125,41.28125,3492800
69,2000-11-07,41.28125,41.71875,40.75,41.03125,3348800
70,2000-11-08,41.25,41.65625,41.25,41.5,2349200
71,2000-11-09,41.6875,42.0625,41.375,41.6875,2874400
72,2000-11-10,41.71875,42.375,41.71875,42.0625,3871200
73,2000-11-13,42.53125,42.65625,41.3125,41.5625,2828400
74,2000-11-14,41.59375,42.40625,41.59375,42.125,3050400
75,2000-11-15,42.15625,42.46875,41.78125,41.96875,2583600
76,2000-11-16,41.84375,42.125,41.53125,41.9375,1992400
77,2000-11-17,41.625,41.90625,41.375,41.875,2014400
78,2000-11-20,42.15625,42.375,41.8125,41.84375,1881600
79,2000-11-21,41.875,42.71875,41.6875,42.5,2951000
80,2000-11-22,42.5,42.53125,42.15625,42.40625,2481000
81,2000-11-24,42.46875,42.46875,42.0,42.15625,1067000
82,2000-11-27,42.5625,42.5625,42.0,42.4375,2285800
83,2000-11-28,42.875,43.0,42.53125,42.90625,5185400
84,2000-11-29,42.90625,42.96875,41.03125,41.0625,5351400
85,2000-11-30,41.34375,41.53125,40.25,40.9375,4079800
86,2000-12-01,41.21875,41.5,40.90625,41.3125,3436000
87,2000-12-04,41.1875,41.90625,41.125,41.5,3926200
88,2000-12-05,42.25,42.25,40.84375,40.90625,3139800
89,2000-12-06,41.0,41.125,40.03125,40.25,3853000
90,2000-12-07,40.53125,40.90625,40.28125,40.34375,2632600
91,2000-12-08,40.15625,40.78125,39.6875,40.65625,3028000
92,2000-12-11,40.6875,41.09375,40.28125,40.75,4312000
93,2000-12-12,41.0625,41.21875,40.78125,40.90625,2651000
94,2000-12-13,40.78125,41.40625,40.78125,41.125,3157200
95,2000-12-14,40.75,40.84375,39.28125,39.53125,4928400
96,2000-12-15,39.875,40.1875,39.125,39.125,8036200
97,2000-12-18,39.4375,40.75,39.34375,40.375,5606400
98,2000-12-19,40.28125,41.21875,40.28125,40.53125,4275200
99,2000-12-20,40.03125,40.0625,39.09375,39.21875,4622200
100,2000-12-21,39.59375,39.6875,39.09375,39.1875,4231600
101,2000-12-22,39.46875,40.375,39.21875,40.3125,3058600
102,2000-12-26,40.8125,41.5,40.5,41.40625,4361200
103,2000-12-27,41.625,41.78125,41.09375,41.53125,2612600
104,2000-12-28,42.4375,43.0625,41.90625,42.875,5321200
105,2000-12-29,42.9375,43.46875,42.21875,42.21875,3377200
106,2001-01-02,42.59375,43.46875,42.46875,42.96875,3957200
107,2001-01-03,42.5,42.71875,40.9375,41.3125,5330000
108,2001-01-04,40.875,41.0,40.03125,40.4375,5514600
109,2001-01-05,40.4375,41.15625,40.28125,40.75,3438200
110,2001-01-08,40.75,41.1875,40.53125,40.65625,3288000
111,2001-01-09,40.65625,40.71875,39.8125,40.125,3825200
112,2001-01-10,40.125,40.15625,39.84375,40.0625,4376200
113,2001-01-11,40.5625,40.8125,40.25,40.71875,5133200
114,2001-01-12,40.75,40.75,39.8125,40.46875,5148400
115,2001-01-16,40.4375,40.5,39.75,40.5,5990400
116,2001-01-17,40.1875,40.46875,39.6875,40.125,5570600
117,2001-01-18,40.0,40.28125,39.65625,39.71875,5045000
118,2001-01-19,39.40625,40.0,39.21875,39.65625,4766800
119,2001-01-22,39.375,39.96875,39.34375,39.8125,4818800
120,2001-01-23,39.84375,40.09375,39.375,39.78125,4825600
121,2001-01-24,40.09375,40.125,39.5,39.9375,3268000
122,2001-01-25,40.0625,41.65625,40.0625,41.59375,8396200
123,2001-01-26,41.59375,41.75,41.0,41.3125,4139800
124,2001-01-29,40.810001373291016,40.904998779296875,40.45500183105469,40.75,3165000
125,2001-01-30,40.67499923706055,41.04999923706055,40.5,40.93000030517578,2629600
126,2001-01-31,41.29999923706055,41.63999938964844,40.95000076293945,41.63999938964844,3285200
127,2001-02-01,41.63999938964844,41.63999938964844,40.779998779296875,41.6349983215332,2901000
128,2001-02-02,41.6349983215332,41.790000915527344,41.005001068115234,41.209999084472656,2958000
129,2001-02-05,41.400001525878906,41.79999923706055,41.275001525878906,41.28499984741211,3338200
130,2001-02-06,41.525001525878906,42.650001525878906,41.30500030517578,42.345001220703125,6619000
131,2001-02-07,42.15999984741211,42.224998474121094,41.529998779296875,41.67499923706055,4463600
132,2001-02-08,41.68000030517578,42.349998474121094,41.564998626708984,42.130001068115234,3951400
133,2001-02-09,42.55500030517578,43.279998779296875,42.54999923706055,42.94499969482422,4152800
134,2001-02-12,43.0,43.345001220703125,42.375,43.26499938964844,4442600
135,2001-02-13,42.81999969482422,43.0,42.375,43.0,3622400
136,2001-02-14,43.14500045776367,43.349998474121094,42.66999816894531,42.92499923706055,5079000
137,2001-02-15,42.5,42.7400016784668,42.349998474121094,42.70000076293945,4665400
138,2001-02-16,43.025001525878906,43.744998931884766,42.775001525878906,43.275001525878906,5898200
139,2001-02-20,43.150001525878906,43.54499816894531,43.03499984741211,43.25,3801000
140,2001-02-21,43.25,43.61000061035156,42.85499954223633,42.96500015258789,5134600
141,2001-02-22,43.20000076293945,43.439998626708984,42.970001220703125,43.040000915527344,4092400
142,2001-02-23,43.040000915527344,43.14500045776367,42.06999969482422,42.22999954223633,3910600
143,2001-02-26,42.0,42.625,41.79999923706055,42.279998779296875,4188800
144,2001-02-27,42.29999923706055,43.06999969482422,42.29499816894531,42.849998474121094,4672200
145,2001-02-28,42.95500183105469,43.125,42.654998779296875,42.83000183105469,4308800
146,2001-03-01,42.83000183105469,43.54999923706055,42.83000183105469,43.41999816894531,5236000
147,2001-03-02,43.5,44.25,43.29999923706055,44.224998474121094,5213800
148,2001-03-05,44.375,45.36000061035156,44.375,45.189998626708984,6764600
149,2001-03-06,45.19499969482422,45.494998931884766,45.025001525878906,45.224998474121094,6489800
150,2001-03-07,45.5,45.880001068115234,45.40999984741211,45.689998626708984,4273400
151,2001-03-08,45.69499969482422,46.5,45.44499969482422,46.474998474121094,5803000
152,2001-03-09,46.474998474121094,46.724998474121094,46.04499816894531,46.38999938964844,3767800
153,2001-03-12,46.369998931884766,46.39500045776367,45.915000915527344,46.05500030517578,4479600
154,2001-03-13,46.040000915527344,46.040000915527344,45.04999923706055,45.310001373291016,5286600
155,2001-03-14,44.57500076293945,45.025001525878906,44.42499923706055,44.76499938964844,4671800
156,2001-03-15,44.76499938964844,44.880001068115234,43.814998626708984,44.349998474121094,4381200
157,2001-03-16,43.79999923706055,44.29999923706055,43.59000015258789,43.75,7003000
158,2001-03-19,44.04999923706055,44.95000076293945,44.0,44.529998779296875,5335800
159,2001-03-20,44.70000076293945,45.625,44.404998779296875,45.314998626708984,5971200
160,2001-03-21,45.04499816894531,45.275001525878906,44.404998779296875,44.84000015258789,5890400
161,2001-03-22,44.75,45.0,42.67499923706055,43.75,9461800
162,2001-03-23,43.349998474121094,44.0,42.900001525878906,43.349998474121094,7401600
163,2001-03-26,43.900001525878906,44.084999084472656,43.209999084472656,43.220001220703125,3789800
164,2001-03-27,43.625,44.11000061035156,43.474998474121094,43.915000915527344,5296600
165,2001-03-28,43.22999954223633,43.58000183105469,42.875,43.29999923706055,3563000
166,2001-03-29,42.900001525878906,43.220001220703125,42.665000915527344,43.209999084472656,3887800
167,2001-03-30,43.560001373291016,44.334999084472656,43.375,43.900001525878906,3907000
168,2001-04-02,43.900001525878906,44.04999923706055,43.060001373291016,43.435001373291016,5444400
169,2001-04-03,43.310001373291016,43.4900016784668,42.29499816894531,43.0,5366200
170,2001-04-04,43.0,43.974998474121094,43.0,43.849998474121094,5048400
171,2001-04-05,44.349998474121094,44.95000076293945,44.03499984741211,44.84000015258789,4891800
172,2001-04-06,44.25,44.75,43.904998779296875,44.61000061035156,4428400
173,2001-04-09,44.875,45.75,44.875,45.75,4455000
174,2001-04-10,45.95000076293945,46.474998474121094,45.95000076293945,46.400001525878906,5972000
175,2001-04-11,45.900001525878906,45.900001525878906,45.09000015258789,45.400001525878906,5068800
176,2001-04-12,45.400001525878906,45.900001525878906,45.064998626708984,45.900001525878906,3530000
177,2001-04-16,46.0,46.900001525878906,45.849998474121094,46.900001525878906,3695000
178,2001-04-17,46.79999923706055,46.80500030517578,46.1349983215332,46.625,4591600
179,2001-04-18,46.224998474121094,46.974998474121094,45.65999984741211,46.72999954223633,6590800
180,2001-04-19,46.380001068115234,46.59000015258789,45.845001220703125,46.375,4761400
181,2001-04-20,46.375,46.70000076293945,46.17499923706055,46.625,4349400
182,2001-04-23,46.95000076293945,47.439998626708984,46.849998474121094,47.35499954223633,4328600
183,2001-04-24,47.42499923706055,47.5,46.78499984741211,47.150001525878906,5287200
184,2001-04-25,47.380001068115234,47.72999954223633,46.8849983215332,47.65999984741211,5224800
185,2001-04-26,47.875,48.970001220703125,47.79999923706055,48.93000030517578,10751600
186,2001-04-27,48.93000030517578,48.95000076293945,48.400001525878906,48.744998931884766,6143800
187,2001-04-30,48.744998931884766,48.900001525878906,48.099998474121094,48.279998779296875,4541200
188,2001-05-01,47.85499954223633,48.29999923706055,47.689998626708984,48.224998474121094,5795800
189,2001-05-02,47.23500061035156,47.73500061035156,45.849998474121094,46.0,7004800
190,2001-05-03,45.875,46.0,45.334999084472656,45.849998474121094,6340200
