,date,open,high,low,close,volume
0,2000-08-01,51.9375,52.5,51.0,52.0,3623600
1,2000-08-02,52.375,53.5,51.875,53.125,3331100
2,2000-08-03,53.1875,53.875,51.4375,51.75,3913800
3,2000-08-04,51.8125,54.0,51.625,54.0,4235200
4,2000-08-07,52.625,55.5,52.625,55.0,4122900
5,2000-08-08,55.0,58.4375,54.9375,57.0,6870100
6,2000-08-09,57.3125,58.0,55.75,58.0,4782800
7,2000-08-10,57.375,57.4375,55.125,55.125,4227000
8,2000-08-11,55.0,56.5,55.0,55.9375,2719500
9,2000-08-14,56.8125,60.0,56.8125,59.0,5011300
10,2000-08-15,56.0,56.0625,53.0,53.5,16307100
11,2000-08-16,52.1875,52.25,49.75,51.0,20874900
12,2000-08-17,51.125,51.5,50.4375,51.3125,6989900
13,2000-08-18,51.125,52.125,50.75,51.375,6392800
14,2000-08-21,51.125,51.4375,49.9375,50.875,5822700
15,2000-08-22,50.9375,52.0,50.5625,51.1875,4724000
16,2000-08-23,51.21875,51.375,50.5,51.375,5202900
17,2000-08-24,50.625,50.9375,49.875,50.4375,5200800
18,2000-08-25,50.4375,50.6875,50.125,50.5,3784300
19,2000-08-28,50.625,50.8125,50.0,50.0,4950400
20,2000-08-29,49.9375,50.3125,49.0625,49.6875,5433100
21,2000-08-30,49.25,49.3125,48.0,48.375,8329200
22,2000-08-31,48.1875,49.375,48.0,48.0625,8541200
23,2000-09-01,49.0,49.0,48.0625,48.5625,5517300
24,2000-09-05,48.9375,51.0,48.625,50.125,5492500
25,2000-09-06,50.625,51.125,50.5,50.625,5266700
26,2000-09-07,50.625,51.0,50.0625,50.5,5109900
27,2000-09-08,50.875,53.4375,50.75,52.9375,7810500
28,2000-09-11,53.0,54.875,52.9375,54.25,5222000
29,2000-09-12,54.6875,55.9375,54.25,55.875,6328100
30,2000-09-13,55.25,56.125,53.875,54.75,7056100
31,2000-09-14,55.875,56.1875,54.75,55.5,5346800
32,2000-09-15,55.9375,55.9375,54.25,54.25,6577700
33,2000-09-18,54.625,55.8125,53.6875,55.0625,4399500
34,2000-09-19,55.0,55.125,52.75,53.0,4102400
35,2000-09-20,53.5,53.8125,52.5625,53.0,3739300
36,2000-09-21,53.125,56.0,53.0,55.0,5001200
37,2000-09-22,54.75,55.9375,54.25,55.9375,5557600
38,2000-09-25,55.9375,55.9375,53.6875,54.625,4601800
39,2000-09-26,54.4375,54.5,52.1875,53.375,5580200
40,2000-09-27,54.9375,54.9375,53.625,54.75,5173100
41,2000-09-28,54.25,55.0,53.8125,55.0,3416400
42,2000-09-29,54.125,54.75,52.875,52.9375,4396400
43,2000-10-02,53.9375,53.9375,52.5625,52.5625,3095900
44,2000-10-03,52.9375,54.75,52.75,53.8125,4093700
45,2000-10-04,53.8125,56.8125,53.8125,55.5625,5747000
46,2000-10-05,54.0,55.75,53.125,53.75,7223900
47,2000-10-06,51.25,51.6875,50.125,51.0625,9449800
48,2000-10-09,51.0625,51.8125,50.625,50.875,2754300
49,2000-10-10,51.125,51.5,50.25,50.6875,3018200
50,2000-10-11,50.1875,51.25,48.9375,48.9375,5142600
51,2000-10-12,37.25,38.0,34.6875,34.875,66652300
52,2000-10-13,35.4375,36.4375,34.875,36.3125,43718200
53,2000-10-16,36.9375,37.6875,36.875,37.6875,16537300
54,2000-10-17,37.5,37.625,35.0625,35.125,13126400
55,2000-10-18,35.25,36.5625,34.75,36.5,13906400
56,2000-10-19,37.625,38.75,37.0625,38.625,12302400
57,2000-10-20,38.625,40.625,38.25,39.4375,9776600
58,2000-10-23,40.625,41.625,40.0625,40.5625,7514900
59,2000-10-24,41.3125,41.3125,38.75,39.25,11845200
60,2000-10-25,38.75,39.1875,38.3125,38.375,6196400
61,2000-10-26,38.5,39.25,38.4375,38.9375,6469300
62,2000-10-27,38.75,39.8125,38.25,39.375,5017600
63,2000-10-30,39.75,42.0625,39.75,40.9375,8475400
64,2000-10-31,42.5,43.625,42.0,43.0,7567900
65,2000-11-01,43.0,44.3125,42.5625,44.0625,6781100
66,2000-11-02,43.75,43.8125,42.125,42.75,8273900
67,2000-11-03,42.5,42.625,40.8125,41.25,5857800
68,2000-11-06,41.6875,42.0,40.6875,41.3125,6531600
69,2000-11-07,42.0,42.125,40.9375,41.375,3723100
70,2000-11-08,41.9375,42.5625,41.25,41.25,5220600
71,2000-11-09,40.0,40.125,38.625,38.8125,7868600
72,2000-11-10,37.0,37.5,36.1875,36.25,12460000
73,2000-11-13,35.5,38.1875,35.4375,37.375,16025400
74,2000-11-14,40.0,40.75,39.0625,39.1875,11823600
75,2000-11-15,40.0,40.375,38.3125,39.625,10061600
76,2000-11-16,39.6875,39.9375,39.1875,39.1875,5515400
77,2000-11-17,39.375,39.75,38.3125,38.8125,7022900
78,2000-11-20,38.8125,39.25,38.3125,38.875,5796900
79,2000-11-21,39.0,39.75,37.375,38.25,7188100
80,2000-11-22,38.25,38.3125,36.6875,36.75,5832700
81,2000-11-24,38.5,38.5,37.375,37.5,3615300
82,2000-11-27,39.4375,39.4375,38.25,38.75,7418800
