,date,open,high,low,close,volume
0,2000-08-01,67.0625,67.375,64.25,64.625,25001100
1,2000-08-02,65.25,66.125,63.1875,63.3125,33226800
2,2000-08-03,61.8125,65.375,60.4375,65.0625,34941100
3,2000-08-04,66.21875,66.25,61.4375,62.5625,34939700
4,2000-08-07,62.625,64.375,61.125,62.9375,30634400
5,2000-08-08,62.75,63.375,61.5,61.625,24900100
6,2000-08-09,62.875,64.875,62.84375,63.5625,30071900
7,2000-08-10,63.1875,64.8125,62.0,62.0,16678400
8,2000-08-11,61.875,64.125,60.8125,63.8125,22509600
9,2000-08-14,64.4375,67.0,63.625,66.9375,25665000
10,2000-08-15,66.8125,68.75,66.0,67.875,34464300
11,2000-08-16,68.625,69.5,67.5625,68.0625,24609500
12,2000-08-17,68.5,71.5,68.4375,70.0625,40495900
13,2000-08-18,71.0,72.9375,70.25,70.5625,35795600
14,2000-08-21,72.671875,74.0625,70.5625,72.0625,46024300
15,2000-08-22,72.46875,73.625,72.125,72.125,31693500
16,2000-08-23,71.4375,74.875,70.6875,74.625,36177000
17,2000-08-24,74.5625,75.828125,73.0,74.25,23352900
18,2000-08-25,73.875,74.4375,72.625,72.9375,20844200
19,2000-08-28,73.25,75.8125,73.0,73.875,42760500
20,2000-08-29,73.3125,74.9375,73.125,74.0625,23023100
21,2000-08-30,73.75,74.375,72.75,73.5,21770400
22,2000-08-31,73.875,75.625,73.625,74.875,28530700
23,2000-09-01,75.625,75.6875,73.4375,73.9375,18322000
24,2000-09-05,71.0625,71.375,68.25,69.25,58396000
25,2000-09-06,68.0625,68.5,65.0,65.703125,62344900
26,2000-09-07,66.609375,68.6875,66.25,67.4375,34716000
27,2000-09-08,67.1875,67.4375,64.9375,65.375,29681800
28,2000-09-11,65.5625,66.875,63.9375,64.6875,30507800
29,2000-09-12,65.0625,66.9375,64.5625,64.9375,28997300
30,2000-09-13,61.6875,63.3125,60.5,61.25,70068400
31,2000-09-14,62.5,62.875,59.25,59.625,50489200
32,2000-09-15,59.6875,59.875,56.625,57.515625,75675900
33,2000-09-18,58.375,59.25,55.5,55.8125,50767100
34,2000-09-19,57.1875,60.5,56.8125,60.375,58855100
35,2000-09-20,61.25,63.5,60.4375,63.0625,70335900
36,2000-09-21,62.0625,62.9375,60.375,61.484375,57112300
37,2000-09-22,46.75,49.5,46.5,47.9375,308734400
38,2000-09-25,50.0625,50.203125,44.75,45.375,130214700
39,2000-09-26,46.4375,46.5,42.8125,43.3125,112681600
40,2000-09-27,44.625,45.6875,43.4375,43.875,80365100
41,2000-09-28,44.125,44.5625,43.484375,44.4375,66739000
42,2000-09-29,43.8125,43.875,41.375,41.5625,72985600
43,2000-10-02,42.9375,42.9375,39.875,40.125,66785700
44,2000-10-03,41.765625,42.5,40.125,40.3125,81206500
45,2000-10-04,41.0,42.75,40.75,42.0,63726000
46,2000-10-05,42.125,42.375,40.5,41.0,52072400
47,2000-10-06,41.375,42.25,39.25,39.9375,69734600
48,2000-10-09,40.4375,40.53125,38.0,39.0625,56544700
49,2000-10-10,39.1875,40.1875,37.4375,37.5625,68882800
50,2000-10-11,37.0,38.125,35.0,35.375,122056600
51,2000-10-12,37.125,38.5,35.0,37.125,100212800
52,2000-10-13,37.109375,40.75,36.9375,40.375,80908800
53,2000-10-16,39.125,39.1875,35.375,35.6875,92057900
54,2000-10-17,36.375,36.625,35.0,36.1875,78642100
55,2000-10-18,36.25,39.8125,35.25,38.1875,16790000
56,2000-10-19,42.015625,42.3125,40.875,41.9375,64250700
57,2000-10-20,41.625,44.375,41.375,43.0625,59899600
58,2000-10-23,43.6875,45.0,42.375,43.3125,43746200
59,2000-10-24,43.625,44.5,41.625,42.0,46937000
60,2000-10-25,42.0,43.5625,41.140625,41.3125,53225900
61,2000-10-26,42.0,45.0,41.6875,44.6875,50811900
62,2000-10-27,45.875,47.0,44.84375,46.375,50197800
63,2000-10-30,45.953125,46.125,43.875,45.0,49111200
64,2000-10-31,45.6875,46.9375,44.6875,45.0,55793900
65,2000-11-01,44.3125,46.5625,44.1875,44.875,47654600
66,2000-11-02,46.5,47.875,46.375,46.6875,65511800
67,2000-11-03,47.125,47.25,45.5,45.9375,31103600
68,2000-11-06,46.625,47.375,46.375,46.5625,24583500
69,2000-11-07,46.75,46.8125,45.3125,46.1875,21043200
70,2000-11-08,46.25,46.3125,42.4375,42.6875,38074100
71,2000-11-09,42.3125,42.375,39.9375,41.375,48864700
72,2000-11-10,38.0,39.0,37.0,37.0,94080100
73,2000-11-13,37.0,39.75,36.0,38.1875,81393300
74,2000-11-14,40.5,41.25,39.4375,40.9375,48677100
75,2000-11-15,41.6875,42.875,40.75,41.5,41961500
76,2000-11-16,41.25,42.9375,39.765625,40.0,39523700
77,2000-11-17,40.125,41.75,39.5,41.5,40986100
78,2000-11-20,41.0,42.9375,40.625,41.125,37495900
79,2000-11-21,42.4375,43.375,41.4375,42.625,36760300
80,2000-11-22,42.25,43.875,41.0625,41.1875,36702700
81,2000-11-24,42.8125,44.0,42.0,43.9375,20684000
82,2000-11-27,45.4375,46.75,43.75,43.9375,52923300
83,2000-11-28,43.1875,44.625,42.0,42.03125,49700800
84,2000-11-29,42.375,43.5,40.9375,42.75,61411300
85,2000-11-30,38.5,38.9375,36.8125,38.0625,78955300
86,2000-12-01,38.5,38.5,33.8125,34.125,1155400
87,2000-12-04,35.125,35.34375,32.0625,32.9375,82755800
88,2000-12-05,34.625,36.5,34.0,36.0,75071400
89,2000-12-06,35.3125,35.3125,31.25,31.75,102012000
90,2000-12-07,32.4375,33.25,31.4375,32.3125,68263600
91,2000-12-08,34.75,34.875,33.0,34.0,88021400
92,2000-12-11,35.125,38.1875,34.3125,37.4375,73069600
93,2000-12-12,36.9375,37.921875,36.375,36.5,48167200
94,2000-12-13,37.75,37.875,35.1875,35.5,48719800
95,2000-12-14,35.5625,36.625,34.5,35.125,33708000
96,2000-12-15,34.5625,34.75,32.3125,32.4375,80843900
97,2000-12-18,34.1875,34.5,32.421875,33.25,38556100
98,2000-12-19,33.75,36.25,33.3125,33.4375,54732300
99,2000-12-20,32.9375,34.125,31.5,31.9375,63150800
100,2000-12-21,32.0,34.453125,31.625,33.125,51590000
101,2000-12-22,33.625,35.0,32.0,32.9375,45424100
102,2000-12-26,33.125,33.875,32.0,32.875,28436200
103,2000-12-27,32.6875,33.6875,32.3125,32.5625,33621500
104,2000-12-28,32.125,32.6875,30.0625,30.9375,49339500
105,2000-12-29,30.9375,31.4375,29.8125,30.0625,54053600
106,2001-01-02,30.6875,31.875,30.25,31.0625,50342900
107,2001-01-03,30.125,34.625,30.125,34.234375,78291900
108,2001-01-04,34.0,35.375,32.6875,33.796875,68769000
109,2001-01-05,34.0625,34.625,31.75,32.0625,44974700
110,2001-01-08,31.5,32.3125,30.625,31.9375,45070800
111,2001-01-09,32.53125,32.9375,31.875,32.25,40814400
112,2001-01-10,31.625,33.375,31.125,33.0,51494300
113,2001-01-11,32.375,34.25,32.0,33.375,64954600
114,2001-01-12,33.5625,33.8125,31.8125,32.125,51374500
115,2001-01-16,32.1875,32.375,31.0,31.375,60301100
116,2001-01-17,33.0,33.0625,30.125,30.5,7427400
117,2001-01-18,30.9375,32.3125,30.0,32.1875,86633300
118,2001-01-19,33.375,34.625,32.3125,33.5625,81348900
119,2001-01-22,32.6875,33.875,32.5,33.375,45756600
120,2001-01-23,33.4375,35.890625,32.75,35.375,84553900
121,2001-01-24,35.6875,37.0625,35.1875,36.25,73579100
122,2001-01-25,35.8125,36.0625,34.3125,34.5,45890400
123,2001-01-26,34.125,36.0625,33.75,35.875,48063700
124,2001-01-29,35.25,37.375,34.75,37.0625,49092800
125,2001-01-30,37.375,38.1875,36.8125,37.0,60806400
126,2001-01-31,37.3125,38.59375,36.5,37.0,71894200
127,2001-02-01,37.0625,37.9375,36.5,37.8125,50297000
128,2001-02-02,37.671875,38.234375,35.5,35.6875,47151200
129,2001-02-05,35.0625,35.3125,33.671875,34.6875,39185100
130,2001-02-06,34.5625,35.9375,34.484375,35.4375,40329200
131,2001-02-07,35.0,36.0625,33.875,34.9375,53148000
132,2001-02-08,35.375,36.125,34.5625,34.625,42899000
133,2001-02-09,34.3125,35.5625,33.4375,33.5,40892100
134,2001-02-12,33.6875,35.1875,33.625,34.5625,30482000
135,2001-02-13,34.125,35.25,32.375,32.4375,41910800
136,2001-02-14,32.5625,34.546875,31.9375,34.125,47442300
137,2001-02-15,35.4375,36.5,35.125,35.8125,58334500
138,2001-02-16,34.75,35.3125,33.625,34.375,41543900
139,2001-02-20,34.0625,34.125,31.375,31.4375,52397300
140,2001-02-21,31.0,32.75,30.5,30.75,51582200
141,2001-02-22,30.9375,31.5625,29.625,30.0,58517400
142,2001-02-23,30.375,30.75,28.5,29.9375,63558300
143,2001-02-26,30.5625,30.703125,28.4375,29.5,60349600
144,2001-02-27,29.5,30.875,29.0,29.0,40787300
145,2001-02-28,29.375,30.1875,28.0,28.5625,48601400
146,2001-03-01,28.25,29.25,27.0625,29.125,56268300
147,2001-03-02,28.5,31.125,28.375,29.3125,54626200
148,2001-03-05,29.875,30.75,29.5,30.375,33275700
149,2001-03-06,31.625,32.875,31.4375,31.5,59734200
150,2001-03-07,32.75,33.6875,31.6875,32.9375,77832700
151,2001-03-08,32.9375,33.6875,32.6875,33.25,64903100
152,2001-03-09,30.1875,30.59375,29.0,29.4375,95273400
153,2001-03-12,28.5,29.375,27.5625,27.75,59597600
154,2001-03-13,28.25,29.625,27.75,29.375,52027200
155,2001-03-14,28.375,29.875,28.0,29.0625,57451000
156,2001-03-15,29.75,29.9375,28.4375,28.5,40752100
157,2001-03-16,28.4375,28.8125,27.6875,27.875,59068600
158,2001-03-19,27.5,27.75,25.375,27.0625,76656300
159,2001-03-20,27.375,27.4375,24.5625,24.625,64431100
160,2001-03-21,24.75,26.75,24.625,25.5625,68549500
161,2001-03-22,26.125,28.8125,26.0625,28.6875,94022700
162,2001-03-23,29.6875,29.75,27.6875,28.8125,84795800
163,2001-03-26,29.5,29.5625,27.875,28.3125,64433900
164,2001-03-27,28.375,29.703125,28.0625,29.375,72645800
165,2001-03-28,28.6875,29.3125,26.8125,26.9375,73000000
166,2001-03-29,26.875,27.5625,25.75,26.5625,64852600
167,2001-03-30,26.625,26.75,25.3125,26.3125,47297100
168,2001-04-02,26.0625,26.875,25.0625,25.796875,44925500
169,2001-04-03,25.3125,26.375,24.84375,25.0,57239500
170,2001-04-04,24.6875,25.09375,22.4375,22.625,84555800
171,2001-04-05,24.25,25.8125,24.09375,25.625,67714900
172,2001-04-06,25.0625,25.234375,23.0,23.625,73965900
173,2001-04-09,23.690000534057617,24.200000762939453,22.25,23.200000762939453,60543900
174,2001-04-10,23.479999542236328,25.100000381469727,23.350000381469727,24.770000457763672,55847600
175,2001-04-11,27.899999618530273,28.290000915527344,27.18000030517578,27.520000457763672,91360800
176,2001-04-12,27.459999084472656,28.510000228881836,26.309999465942383,28.1200008392334,54027200
177,2001-04-16,26.770000457763672,26.799999237060547,25.520000457763672,26.299999237060547,59342200
178,2001-04-17,25.25,26.729999542236328,25.18000030517578,26.040000915527344,74191900
179,2001-04-18,29.219999313354492,32.189998626708984,28.600000381469727,31.280000686645508,49959200
180,2001-04-19,30.790000915527344,32.52000045776367,30.450000762939453,32.4900016784668,85981400
181,2001-04-20,31.969999313354492,32.56999969482422,31.260000228881836,32.43000030517578,62659300
182,2001-04-23,31.06999969482422,31.299999237060547,29.649999618530273,30.31999969482422,58508800
183,2001-04-24,29.940000534057617,31.040000915527344,28.899999618530273,29.139999389648438,50134100
184,2001-04-25,29.0,29.360000610351562,27.5,29.030000686645508,64640600
185,2001-04-26,30.229999542236328,30.360000610351562,28.600000381469727,28.639999389648438,53730100
186,2001-04-27,29.600000381469727,30.229999542236328,29.049999237060547,30.18000030517578,42007500
187,2001-04-30,30.850000381469727,31.649999618530273,30.530000686645508,30.90999984741211,41266300
188,2001-05-01,30.770000457763672,31.40999984741211,30.1200008392334,31.18000030517578,37209500
189,2001-05-02,31.889999389648438,32.5,31.200000762939453,31.940000534057617,45022200
190,2001-05-03,31.139999389648438,31.200000762939453,30.110000610351562,30.399999618530273,37080900
191,2001-05-04,29.899999618530273,31.049999237060547,29.299999237060547,30.8799991607666,35393400
192,2001-05-07,31.049999237060547,31.68000030517578,30.34000015258789,31.15999984741211,33647800
193,2001-05-08,31.489999771118164,31.799999237060547,30.899999618530273,31.479999542236328,41514400
194,2001-05-09,30.989999771118164,30.989999771118164,29.299999237060547,29.93000030517578,61622800
195,2001-05-10,30.479999542236328,30.540000915527344,28.899999618530273,29.010000228881836,49116200
196,2001-05-11,29.030000686645508,29.239999771118164,27.790000915527344,27.940000534057617,47531600
197,2001-05-14,28.049999237060547,28.149999618530273,26.709999084472656,27.40999984741211,41994500
198,2001-05-15,27.6200008392334,28.100000381469727,26.93000030517578,27.200000762939453,47310800
199,2001-05-16,27.0,28.5,26.5,28.360000610351562,59906400
200,2001-05-17,28.780000686645508,29.190000534057617,28.0,28.600000381469727,56376100
201,2001-05-18,28.530000686645508,29.139999389648438,27.989999771118164,28.760000228881836,34775000
202,2001-05-21,28.3700008392334,30.010000228881836,28.190000534057617,29.899999618530273,44417800
203,2001-05-22,30.190000534057617,30.43000030517578,29.399999618530273,29.530000686645508,39665300
204,2001-05-23,29.3700008392334,30.25,28.559999465942383,28.799999237060547,53488500
205,2001-05-24,28.84000015258789,29.399999618530273,28.1200008392334,29.209999084472656,47217900
206,2001-05-25,29.440000534057617,29.549999237060547,28.68000030517578,29.100000381469727,29592100
207,2001-05-29,28.959999084472656,29.020000457763672,27.780000686645508,27.850000381469727,37797600
208,2001-05-30,27.34000015258789,27.700000762939453,26.399999618530273,26.600000381469727,47272800
209,2001-05-31,27.030000686645508,27.579999923706055,26.84000015258789,27.010000228881836,38761100
210,2001-06-01,27.260000228881836,29.06999969482422,27.190000534057617,28.739999771118164,60601900
211,2001-06-04,29.1200008392334,29.5,28.059999465942383,28.5,37894700
