,date,open,high,low,close,volume
0,2000-08-01,30.65625,32.0,30.65625,31.5,9321400
1,2000-08-02,31.5,31.53125,31.125,31.46875,6662400
2,2000-08-03,31.46875,31.875,31.03125,31.5,6653400
3,2000-08-04,31.3125,31.3125,30.5625,31.0625,6006600
4,2000-08-07,30.875,30.875,30.5625,30.6875,4263600
5,2000-08-08,30.6875,31.1875,30.25,30.46875,6135800
6,2000-08-09,30.21875,30.21875,29.84375,29.90625,7111600
7,2000-08-10,30.03125,30.875,30.03125,30.5,6214800
8,2000-08-11,30.5,31.375,30.5,31.125,6165400
9,2000-08-14,31.125,31.625,31.125,31.53125,5329400
10,2000-08-15,31.28125,31.28125,30.8125,31.0,4402600
11,2000-08-16,30.6875,30.6875,29.75,30.34375,11729200
12,2000-08-17,30.3125,30.3125,29.78125,29.84375,5834000
13,2000-08-18,29.84375,30.15625,29.75,30.15625,5274600
14,2000-08-21,29.96875,29.96875,29.5625,29.90625,5735000
15,2000-08-22,29.90625,29.96875,29.0,29.0,4243400
16,2000-08-23,29.0,29.59375,28.96875,29.3984375,7007400
17,2000-08-24,29.3984375,29.5,28.9375,28.96875,4619200
18,2000-08-25,28.71875,28.71875,27.5,28.0,13902000
19,2000-08-28,28.34375,28.875,28.34375,28.5,12625800
20,2000-08-29,28.4375,28.4375,28.03125,28.15625,5934600
21,2000-08-30,28.0,28.0,26.90625,27.125,9392800
22,2000-08-31,27.09375,27.09375,25.75,26.3203125,16123800
23,2000-09-01,26.6875,27.25,26.6875,27.125,10053000
24,2000-09-05,27.125,28.53125,26.75,28.15625,11223000
25,2000-09-06,27.46875,27.46875,27.03125,27.15625,9854000
26,2000-09-07,27.15625,27.28125,26.625,27.0,7458200
27,2000-09-08,27.0,27.59375,26.90625,27.28125,5253600
28,2000-09-11,27.28125,27.34375,26.15625,26.5,7846000
29,2000-09-12,26.5,26.9375,26.09375,26.75,8248000
30,2000-09-13,26.75,26.84375,26.03125,26.25,6986400
31,2000-09-14,25.9375,25.9375,24.96875,25.5,11181600
32,2000-09-15,25.5,26.0625,25.25,25.40625,12373800
33,2000-09-18,25.40625,26.75,25.375,26.5625,8759800
34,2000-09-19,26.5625,26.75,26.03125,26.4375,7630400
35,2000-09-20,26.34375,26.34375,24.71875,25.125,14690200
36,2000-09-21,25.125,25.40625,24.59375,24.78125,10247200
37,2000-09-22,25.4375,26.46875,25.4375,26.4375,16349000
38,2000-09-25,26.4375,27.125,26.3125,26.78125,8079600
39,2000-09-26,26.78125,27.5625,26.625,27.46875,10269400
40,2000-09-27,27.46875,27.9375,27.0,27.8125,10414600
41,2000-09-28,27.8125,27.8125,27.0625,27.71875,8353200
42,2000-09-29,27.71875,28.3125,27.5,27.5625,11962600
43,2000-10-02,27.625,28.5,27.625,28.5,9516000
44,2000-10-03,28.5,28.6875,28.0625,28.15625,7380800
45,2000-10-04,28.15625,28.625,28.0,28.625,8279000
46,2000-10-05,28.65625,29.6875,28.65625,29.5625,10596400
47,2000-10-06,29.5625,29.59375,28.875,29.21875,9617400
48,2000-10-09,29.21875,29.40625,28.90625,28.90625,4073000
49,2000-10-10,28.90625,29.65625,28.53125,29.09375,6280600
50,2000-10-11,29.09375,29.78125,28.875,29.28125,7904000
51,2000-10-12,29.28125,29.375,28.1875,28.625,8552800
52,2000-10-13,28.625,28.84375,28.1875,28.59375,7312400
53,2000-10-16,28.59375,29.625,28.5,29.3125,7054600
54,2000-10-17,29.3125,29.46875,28.5,28.96875,6069800
55,2000-10-18,28.96875,29.4375,28.40625,29.09375,7339400
56,2000-10-19,28.71875,28.71875,28.0625,28.5625,5797600
57,2000-10-20,27.875,27.875,26.875,27.40625,14655200
58,2000-10-23,27.40625,27.96875,26.9375,27.65625,7077800
59,2000-10-24,27.65625,28.09375,27.21875,28.0625,6334800
60,2000-10-25,28.0625,29.21875,27.8125,28.96875,9350200
61,2000-10-26,28.96875,29.65625,28.21875,29.34375,9351000
62,2000-10-27,29.34375,29.65625,28.8125,29.46875,7562200
63,2000-10-30,29.46875,30.25,29.4375,29.9375,10526800
64,2000-10-31,29.9375,30.46875,29.34375,30.1875,9830000
65,2000-11-01,30.1875,30.71875,30.15625,30.4375,8289000
66,2000-11-02,30.4375,30.71875,30.03125,30.375,9108400
67,2000-11-03,30.25,30.25,29.5625,29.65625,6068400
68,2000-11-06,29.65625,30.5,29.40625,30.25,5558200
69,2000-11-07,30.25,30.4375,29.90625,30.03125,4236000
70,2000-11-08,30.03125,30.3125,29.53125,30.09375,5048200
71,2000-11-09,30.09375,31.34375,29.9375,31.15625,11855000
72,2000-11-10,31.15625,31.53125,30.9375,30.9375,10323400
73,2000-11-13,30.8125,30.8125,30.1875,30.53125,8175800
74,2000-11-14,30.53125,30.65625,29.8125,30.28125,7423400
