,date,open,high,low,close,volume
0,2000-08-01,31.875,32.625,31.8125,32.625,3134200
1,2000-08-02,32.5625,33.5625,32.5625,33.4375,4643100
2,2000-08-03,33.625,33.9375,33.1875,33.25,3805700
3,2000-08-04,33.125,33.6875,33.0,33.375,2536600
4,2000-08-07,33.5625,34.25,33.5,33.6875,3078100
5,2000-08-08,34.0,34.125,33.0625,33.5,2625500
6,2000-08-09,32.8125,33.1875,32.25,32.6875,3548300
7,2000-08-10,32.9375,33.0625,32.625,32.8125,2316000
8,2000-08-11,32.9375,33.625,32.875,33.4375,2224100
9,2000-08-14,33.4375,33.4375,33.0,33.3125,2457400
10,2000-08-15,33.4375,33.625,32.25,32.4375,2872800
11,2000-08-16,32.4375,32.5625,32.0625,32.375,2087600
12,2000-08-17,32.125,32.375,31.0,31.25,4735200
13,2000-08-18,31.125,31.9375,31.0,31.5625,3335400
14,2000-08-21,31.8125,31.9375,31.25,31.5625,2985800
15,2000-08-22,31.6875,31.875,31.1875,31.3125,3485600
16,2000-08-23,31.3125,31.75,30.9375,31.1875,3414800
17,2000-08-24,31.1875,31.3125,30.0,30.375,6604900
18,2000-08-25,30.5,30.5625,29.875,30.375,4992100
19,2000-08-28,30.0,30.4375,30.0,30.375,4056200
20,2000-08-29,30.6875,31.0,30.1875,30.4375,4823800
21,2000-08-30,30.4375,30.4375,29.9375,30.375,4095000
22,2000-08-31,30.125,30.375,29.625,29.890625,6792600
23,2000-09-01,29.6875,30.0625,29.3125,29.5625,4717000
24,2000-09-05,29.5625,29.8125,29.375,29.6875,5208100
25,2000-09-06,29.5625,30.3125,29.5625,30.125,4009200
26,2000-09-07,30.25,30.375,29.0625,29.5,6629500
27,2000-09-08,29.3125,29.5625,28.25,28.75,6268100
28,2000-09-11,28.75,28.8125,28.0625,28.375,4514600
29,2000-09-12,28.1875,29.5625,27.8125,29.0,11730400
30,2000-09-13,29.4375,29.5,27.0,27.1875,7816400
31,2000-09-14,27.75,27.75,26.375,27.25,17827100
32,2000-09-15,28.8125,28.8125,27.0625,28.0,10175900
33,2000-09-18,27.9375,28.5625,27.4375,28.5,5527900
34,2000-09-19,28.5,28.625,27.5625,27.875,5110200
35,2000-09-20,27.875,27.9375,27.0,27.6875,4793200
36,2000-09-21,27.8125,28.25,27.0,27.0,4128100
37,2000-09-22,28.6875,29.28125,28.1875,28.6875,6886900
38,2000-09-25,29.25,29.4375,28.9375,29.4375,4416800
39,2000-09-26,29.5,30.125,29.4375,29.875,5603100
40,2000-09-27,29.625,29.9375,29.5,29.875,3542400
41,2000-09-28,29.9375,30.25,29.8125,29.875,3317900
42,2000-09-29,30.1875,30.375,29.75,30.1875,3074500
43,2000-10-02,30.4375,30.4375,30.0,30.0625,2161800
44,2000-10-03,30.125,30.5,29.9375,30.25,3047300
45,2000-10-04,30.3125,30.5,29.875,30.0,2199700
46,2000-10-05,30.25,30.4375,29.6875,30.125,5717500
47,2000-10-06,29.875,30.3125,29.4375,29.875,3540600
48,2000-10-09,30.0,30.125,29.5,30.0625,2179400
49,2000-10-10,30.3125,30.375,29.9375,29.9375,1944800
50,2000-10-11,30.0,30.4375,29.9375,30.0,2424100
51,2000-10-12,29.75,29.8125,27.9375,28.375,5741500
52,2000-10-13,28.3125,29.1875,28.0,28.875,2707100
53,2000-10-16,29.4375,29.4375,28.8125,29.0,2694800
54,2000-10-17,28.375,28.5,27.625,28.0,4310200
55,2000-10-18,28.375,28.5,27.8125,28.0625,3077800
56,2000-10-19,28.875,28.875,27.5625,27.875,6460600
57,2000-10-20,28.5,28.625,28.125,28.25,5199500
58,2000-10-23,28.9375,29.1875,28.8125,29.125,3610200
59,2000-10-24,29.3125,29.625,28.8125,29.125,5020500
60,2000-10-25,28.875,29.25,28.8125,29.0,4246900
61,2000-10-26,28.6875,29.1875,28.625,28.9375,4074800
62,2000-10-27,28.6875,29.75,28.6875,29.75,3743900
63,2000-10-30,29.6875,31.3125,29.4375,31.1875,5916900
64,2000-10-31,31.375,31.5,30.6875,31.0,4047100
65,2000-11-01,30.75,31.6875,30.625,31.625,3181300
66,2000-11-02,31.4375,32.0,31.3125,31.9375,3065700
67,2000-11-03,31.9375,32.625,31.6875,32.375,3794400
68,2000-11-06,32.0,32.25,31.6875,32.0,2440600
69,2000-11-07,31.8125,32.3125,31.5625,31.75,2333600
70,2000-11-08,31.5625,31.75,31.25,31.625,2728400
71,2000-11-09,31.5,31.875,31.1875,31.75,2431100
72,2000-11-10,31.375,33.25,31.3125,33.0625,6093400
73,2000-11-13,32.25,33.3125,32.1875,33.0625,4603700
74,2000-11-14,33.0625,33.5,32.8125,33.4375,4011100
75,2000-11-15,33.3125,33.75,33.25,33.3125,3670200
76,2000-11-16,33.4375,33.4375,32.6875,32.6875,2587800
77,2000-11-17,32.5,33.4375,32.5,33.4375,3465000
78,2000-11-20,32.5,33.875,32.5,33.5,3091600
79,2000-11-21,33.5625,34.0,33.1875,33.9375,2471800
80,2000-11-22,33.3125,34.4375,33.3125,34.25,3043000
81,2000-11-24,33.4375,34.0,33.4375,33.6875,1475500
82,2000-11-27,33.125,33.375,31.5,31.9375,5253000
83,2000-11-28,31.625,32.0625,30.875,31.25,5332000
84,2000-11-29,31.3125,33.25,31.25,32.5,5271600
85,2000-11-30,32.625,32.9375,31.5,31.875,3794900
86,2000-12-01,32.125,32.125,30.625,30.9375,5264000
87,2000-12-04,30.5,31.625,30.4375,31.4375,2857900
88,2000-12-05,31.25,31.25,30.125,30.5,3762800
89,2000-12-06,30.1875,30.5,29.0625,29.625,4859100
90,2000-12-07,29.5,30.625,29.3125,30.25,3239200
91,2000-12-08,30.0,30.125,28.75,29.5,5463100
92,2000-12-11,29.25,30.125,29.0,29.9375,12259000
93,2000-12-12,30.5,31.1875,30.375,30.875,9798200
94,2000-12-13,31.125,31.5,30.5625,31.125,7453800
95,2000-12-14,31.0,31.75,30.75,31.5625,5369000
96,2000-12-15,31.5,32.25,31.4375,31.5,7806700
97,2000-12-18,31.875,32.5625,31.6875,32.3125,3202600
98,2000-12-19,32.5,33.1875,32.375,32.875,4633800
99,2000-12-20,32.375,32.75,31.375,31.375,5257300
100,2000-12-21,31.9375,32.6875,31.8125,32.6875,4297600
101,2000-12-22,32.5,33.0625,31.9375,32.6875,3214200
102,2000-12-26,32.625,32.75,32.0625,32.5,3365100
103,2000-12-27,32.3125,33.125,32.125,33.125,3865600
104,2000-12-28,32.8125,34.0,32.4375,33.875,3539400
105,2000-12-29,33.8125,34.5,33.5625,34.0,3338200
106,2001-01-02,33.8125,33.8125,33.0,33.5,3529800
107,2001-01-03,33.5625,34.6875,33.375,33.6875,3265400
108,2001-01-04,33.25,33.875,32.875,33.0,5953800
109,2001-01-05,32.75,33.0,32.5625,32.9375,3999100
110,2001-01-08,32.875,33.3125,32.75,33.0,2803600
111,2001-01-09,32.5625,33.25,32.5625,33.0625,2778100
112,2001-01-10,32.875,33.3125,32.3125,33.1875,3091800
113,2001-01-11,33.3125,33.3125,32.625,32.6875,2179800
114,2001-01-12,32.9375,33.9375,32.5625,33.625,3284200
115,2001-01-16,32.75,34.125,32.125,34.125,4546000
116,2001-01-17,33.875,35.0625,33.625,34.6875,5223100
117,2001-01-18,34.125,34.3125,33.625,33.625,4744500
118,2001-01-19,33.4375,33.5,32.6875,32.8125,5238500
119,2001-01-22,32.625,33.75,32.625,33.5,3267500
120,2001-01-23,33.5,33.5,32.625,32.875,3290600
