,date,open,high,low,close,volume
0,2000-08-01,45.25,45.59375,44.625,44.6875,2711400
1,2000-08-02,44.78125,45.3125,44.4375,45.125,2003400
2,2000-08-03,45.34375,45.46875,44.96875,44.96875,2093400
3,2000-08-04,44.96875,45.34375,44.8125,45.0,2032800
4,2000-08-07,45.0,45.46875,45.0,45.4375,1593400
5,2000-08-08,45.46875,46.09375,45.09375,45.6875,2862400
6,2000-08-09,46.125,46.71875,45.8125,46.25,3140600
7,2000-08-10,46.46875,47.75,46.46875,47.4375,3862000
8,2000-08-11,47.46875,48.71875,47.46875,48.375,3663800
9,2000-08-14,48.125,48.125,46.90625,47.84375,2292200
10,2000-08-15,47.90625,47.9375,47.125,47.4375,1630800
11,2000-08-16,47.5,47.5,47.0,47.28125,1871000
12,2000-08-17,47.40625,47.8125,47.15625,47.625,1728200
13,2000-08-18,47.75,47.75,47.375,47.5625,1513000
14,2000-08-21,47.6875,47.90625,47.28125,47.46875,1057200
15,2000-08-22,47.4375,48.5,47.375,48.15625,1498800
16,2000-08-23,48.09375,48.40625,47.65625,47.96875,1747200
17,2000-08-24,47.84375,47.9375,47.25,47.40625,1656600
18,2000-08-25,47.53125,47.875,47.53125,47.875,1572800
19,2000-08-28,48.0,48.71875,47.5625,47.5625,1608000
20,2000-08-29,47.6875,47.8125,47.3125,47.3125,1900600
21,2000-08-30,47.3125,47.5625,46.625,46.6875,1784400
22,2000-08-31,46.59375,47.78125,46.5,46.5078125,2093200
23,2000-09-01,46.96875,47.28125,46.25,46.25,3204400
24,2000-09-05,46.21875,46.4375,45.78125,46.125,2271600
25,2000-09-06,46.78125,47.96875,46.75,47.0625,2737800
26,2000-09-07,46.5,46.625,45.8125,45.8125,3829800
27,2000-09-08,45.125,45.6875,44.5,44.96875,3726800
28,2000-09-11,45.25,45.28125,44.1875,44.46875,2630800
29,2000-09-12,44.21875,44.84375,44.0,44.03125,2537400
30,2000-09-13,44.3125,44.96875,43.09375,43.25,2644000
31,2000-09-14,43.125,43.21875,42.0625,42.5,3947600
32,2000-09-15,43.125,43.125,42.0625,42.5625,4802000
33,2000-09-18,42.1875,42.3125,41.0,41.59375,4220200
34,2000-09-19,42.09375,42.34375,41.53125,41.9375,3305400
35,2000-09-20,41.875,42.34375,40.25,40.875,4520000
36,2000-09-21,42.3125,43.90625,42.25,43.21875,5820200
37,2000-09-22,43.75,44.75,43.125,44.125,5092400
38,2000-09-25,44.0,45.03125,43.875,45.0,4293800
39,2000-09-26,45.0,45.5,44.21875,44.9375,5865800
40,2000-09-27,44.96875,45.625,44.59375,44.96875,5071600
41,2000-09-28,45.09375,46.71875,45.03125,45.8125,3306000
42,2000-09-29,45.6875,46.6875,45.5,45.5625,3258200
43,2000-10-02,45.96875,46.34375,45.40625,45.84375,2493400
44,2000-10-03,45.75,47.46875,45.75,47.0,2911600
45,2000-10-04,46.65625,48.0,46.65625,47.75,4045800
46,2000-10-05,47.5,47.5,46.53125,46.625,2555200
47,2000-10-06,46.875,47.375,46.09375,46.09375,2792000
48,2000-10-09,46.15625,47.15625,45.875,45.875,1789600
49,2000-10-10,46.09375,47.4375,46.09375,46.5625,2328800
50,2000-10-11,47.25,47.71875,46.53125,46.625,2367200
51,2000-10-12,46.5625,46.59375,45.25,45.4375,4886800
52,2000-10-13,45.3125,45.65625,45.3125,45.5,6227800
53,2000-10-16,45.8125,47.4375,45.8125,46.09375,2857000
54,2000-10-17,46.25,46.6875,45.46875,45.5625,4001600
55,2000-10-18,45.125,45.6875,45.125,45.5625,4213400
56,2000-10-19,45.625,45.625,44.21875,44.5,4775400
57,2000-10-20,44.0,44.4375,41.96875,43.625,10243000
58,2000-10-23,46.0,47.0,44.25,44.90625,5694200
59,2000-10-24,45.4375,46.0,44.78125,45.03125,2279400
60,2000-10-25,44.625,45.09375,44.53125,45.0625,2882400
61,2000-10-26,44.96875,46.5625,44.90625,46.09375,2265000
62,2000-10-27,46.15625,46.75,45.3125,46.75,2140800
63,2000-10-30,46.625,47.875,46.03125,47.5,2955200
64,2000-10-31,47.125,48.375,46.28125,48.3125,4168000
65,2000-11-01,48.125,48.96875,47.40625,47.5625,2673200
66,2000-11-02,47.59375,47.96875,47.21875,47.46875,2785800
67,2000-11-03,47.34375,47.53125,46.90625,47.4375,2503000
68,2000-11-06,47.375,49.125,47.125,48.6875,3368000
69,2000-11-07,49.125,49.125,48.0,48.46875,1812200
70,2000-11-08,48.78125,49.875,47.875,48.65625,2876400
71,2000-11-09,48.1875,49.25,47.5625,48.6875,2205800
72,2000-11-10,48.8125,49.21875,47.3125,47.5,1960000
73,2000-11-13,47.0625,47.875,47.03125,47.40625,2245400
74,2000-11-14,47.03125,47.71875,46.375,47.5,2655000
75,2000-11-15,47.03125,48.34375,47.03125,47.6875,2950600
76,2000-11-16,48.625,48.6875,46.84375,47.65625,3067600
77,2000-11-17,48.0,48.5,47.59375,48.0,3314400
78,2000-11-20,48.21875,48.34375,47.125,47.3125,3055400
79,2000-11-21,47.125,47.9375,47.125,47.84375,2340400
80,2000-11-22,47.53125,48.5,47.53125,47.90625,2156600
81,2000-11-24,47.90625,48.03125,47.5625,47.90625,990800
82,2000-11-27,48.03125,50.0,47.5625,49.625,4653800
83,2000-11-28,49.25,50.625,49.0625,49.4375,3735800
84,2000-11-29,49.5625,50.0625,49.53125,50.0625,2641200
85,2000-11-30,50.0625,50.125,49.1875,49.9375,2936400
86,2000-12-01,49.625,50.15625,49.625,49.8125,2528600
87,2000-12-04,49.9375,53.3125,49.71875,52.5,12211000
88,2000-12-05,53.625,59.5,53.625,58.3125,29116000
89,2000-12-06,57.71875,58.375,57.28125,57.5625,12515200
90,2000-12-07,57.15625,57.40625,56.25,57.34375,7502400
91,2000-12-08,57.4375,58.59375,56.78125,58.46875,6358600
92,2000-12-11,57.90625,58.15625,57.25,57.625,3296600
93,2000-12-12,57.1875,57.375,56.8125,56.9375,4116400
94,2000-12-13,57.0,57.5,56.25,56.90625,2852600
95,2000-12-14,56.53125,57.1875,55.09375,55.5,4081200
96,2000-12-15,56.625,56.875,55.625,56.09375,5946400
97,2000-12-18,56.9375,57.46875,56.5625,57.3125,4021800
98,2000-12-19,57.3125,58.0,56.3125,56.875,4642000
99,2000-12-20,55.125,56.84375,55.125,56.46875,3838800
100,2000-12-21,55.75,56.96875,54.75,56.34375,4810600
101,2000-12-22,56.21875,56.71875,55.4375,56.375,3660000
