,date,open,high,low,close,volume
0,2000-08-01,34.96875,35.03125,34.09375,34.34375,47163600
1,2000-08-02,34.28125,35.21875,34.25,34.6875,48269200
2,2000-08-03,34.09375,35.1875,34.0625,35.125,54543400
3,2000-08-04,34.71875,34.9375,34.09375,34.5625,38107400
4,2000-08-07,35.09375,35.5625,34.875,35.0,52741800
5,2000-08-08,35.03125,37.34375,35.0,37.0625,138038800
6,2000-08-09,36.875,37.4375,36.5625,37.125,63945600
7,2000-08-10,36.90625,37.03125,35.875,36.3125,48986000
8,2000-08-11,36.21875,36.34375,35.8125,36.21875,35629600
9,2000-08-14,36.15625,36.6875,35.6875,36.09375,53427000
10,2000-08-15,36.0,36.5,35.75,35.8125,40714200
11,2000-08-16,35.9375,36.125,35.28125,35.5,44976200
12,2000-08-17,35.5625,36.0,35.28125,35.78125,36112800
13,2000-08-18,35.5625,35.71875,35.0,35.5,54438800
14,2000-08-21,35.34375,35.40625,35.03125,35.3125,34119600
15,2000-08-22,35.40625,36.21875,35.109375,35.625,54428200
16,2000-08-23,35.40625,35.5625,35.1875,35.375,36726800
17,2000-08-24,35.3125,35.59375,34.96875,35.5625,42405400
18,2000-08-25,35.34375,35.84375,35.28125,35.3125,52729400
19,2000-08-28,35.09375,36.0625,35.0625,35.65625,56421600
20,2000-08-29,35.59375,36.375,35.4375,35.46875,59400200
21,2000-08-30,35.34375,35.46875,34.84375,35.0,53498800
22,2000-08-31,35.4375,36.0,34.84375,34.90625,72575400
23,2000-09-01,35.0,35.3125,34.84375,35.09375,37629800
24,2000-09-05,35.0,35.34375,34.90625,35.0625,50755200
25,2000-09-06,35.03125,35.34375,34.65625,34.71875,62960800
26,2000-09-07,35.0,36.03125,34.71875,35.03125,111711200
27,2000-09-08,35.1875,35.4375,34.59375,34.65625,56709600
28,2000-09-11,34.5625,34.84375,34.03125,34.40625,48495200
29,2000-09-12,34.375,34.65625,33.8125,34.0625,46781200
30,2000-09-13,33.78125,34.375,33.59375,34.125,40744800
31,2000-09-14,34.34375,34.375,32.84375,32.90625,78503000
32,2000-09-15,32.71875,32.8125,31.65625,32.09375,99915200
33,2000-09-18,32.125,32.3125,31.09375,31.5,69037800
34,2000-09-19,31.8125,32.875,31.6875,32.5,79311200
35,2000-09-20,32.4375,32.5,31.59375,32.125,67791400
36,2000-09-21,32.0,32.5625,31.78125,32.09375,48952200
37,2000-09-22,30.5625,31.75,30.5,31.625,84476600
38,2000-09-25,31.625,31.75,30.21875,30.625,53484200
39,2000-09-26,30.46875,32.9375,30.21875,31.34375,155704800
40,2000-09-27,31.71875,31.78125,29.90625,30.3125,106155600
41,2000-09-28,30.40625,30.9375,30.3125,30.65625,52360400
42,2000-09-29,30.5,30.65625,29.3125,30.15625,74053600
43,2000-10-02,30.25,30.40625,29.125,29.5625,58562400
44,2000-10-03,29.78125,29.90625,28.25,28.28125,85374000
45,2000-10-04,28.1875,28.28125,27.25,27.71875,136453400
46,2000-10-05,27.75,28.625,27.625,27.6875,81099400
47,2000-10-06,27.90625,28.375,27.375,27.78125,61794000
48,2000-10-09,27.8125,27.875,26.5,27.09375,58323600
49,2000-10-10,26.96875,27.78125,26.90625,27.28125,62066200
50,2000-10-11,27.0,28.46875,27.0,27.875,101205800
51,2000-10-12,28.15625,28.4375,26.90625,27.1875,90219600
52,2000-10-13,26.9375,27.4375,26.0625,26.875,104521200
53,2000-10-16,26.75,26.90625,24.78125,25.1875,119759000
54,2000-10-17,25.9375,26.21875,25.125,25.21875,81276600
55,2000-10-18,24.8125,26.625,24.21875,25.875,110536400
56,2000-10-19,29.21875,31.09375,29.0,30.9375,256993200
57,2000-10-20,30.65625,33.0625,30.5625,32.59375,160378600
58,2000-10-23,32.3125,33.125,30.34375,31.0625,185170400
59,2000-10-24,31.3125,31.46875,30.09375,30.75,94427400
60,2000-10-25,30.96875,31.71875,30.21875,30.625,167603800
61,2000-10-26,30.5,32.53125,30.40625,32.21875,114826600
62,2000-10-27,32.34375,34.59375,32.3125,33.84375,124292400
63,2000-10-30,33.75,35.0625,33.6875,34.53125,110057600
64,2000-10-31,34.5,34.75,34.0,34.4375,104474000
65,2000-11-01,34.25,35.03125,34.21875,34.8125,81309400
66,2000-11-02,35.1875,35.421875,34.8125,35.15625,77985200
67,2000-11-03,34.625,34.8125,34.03125,34.125,68711000
68,2000-11-06,34.34375,35.0625,34.125,34.75,74851400
69,2000-11-07,34.875,35.9375,34.75,35.25,104331200
70,2000-11-08,35.5625,36.1875,34.0,34.71875,206149400
71,2000-11-09,34.25,35.65625,34.21875,35.4375,91058600
72,2000-11-10,34.96875,35.15625,33.40625,33.6875,93744400
73,2000-11-13,33.34375,34.0625,32.203125,33.21875,83364800
74,2000-11-14,34.0,34.90625,33.65625,34.40625,84218600
75,2000-11-15,34.53125,35.4375,34.34375,35.03125,60422200
76,2000-11-16,34.71875,35.75,34.46875,34.46875,92128600
77,2000-11-17,34.71875,35.0,33.8984375,34.53125,106525600
78,2000-11-20,34.0625,34.25,32.78125,33.59375,80157200
79,2000-11-21,33.6875,34.625,33.6875,33.875,59487600
80,2000-11-22,33.03125,34.75,33.0,34.125,76343200
81,2000-11-24,34.5,35.21875,34.25,34.96875,34439200
82,2000-11-27,35.71875,36.125,35.3125,35.34375,85307600
83,2000-11-28,34.6875,34.875,33.40625,33.5,127446200
84,2000-11-29,33.40625,33.5625,31.625,32.53125,98280400
85,2000-11-30,31.0,31.03125,28.5,28.6875,197200800
86,2000-12-01,29.03125,30.3125,28.03125,28.3125,109809800
87,2000-12-04,28.625,29.5,27.59375,28.21875,80407200
88,2000-12-05,29.59375,30.25,29.125,29.9375,101734400
89,2000-12-06,30.0,30.03125,28.03125,28.34375,90560800
90,2000-12-07,26.71875,27.0,26.125,26.5625,145308400
91,2000-12-08,27.3125,27.9375,26.71875,27.21875,120939800
92,2000-12-11,27.75,29.375,27.5,29.03125,95576200
93,2000-12-12,28.90625,30.0,28.375,29.1875,63106000
94,2000-12-13,30.25,30.25,28.40625,28.625,98360400
95,2000-12-14,28.96875,29.3671875,27.6875,27.75,71201400
96,2000-12-15,25.5234375,26.0,23.875,24.59375,116899800
97,2000-12-18,24.5,25.0,23.5,23.90625,107187400
98,2000-12-19,23.71875,24.0,22.25,22.40625,120271800
99,2000-12-20,21.40625,22.0,20.6875,20.75,149037800
100,2000-12-21,20.375,22.5625,20.15625,21.71875,163173000
101,2000-12-22,22.375,23.5625,22.375,23.21875,109551800
102,2000-12-26,23.4375,24.28125,22.9375,23.4375,66941600
103,2000-12-27,23.0625,23.40625,22.5,23.21875,69003800
104,2000-12-28,22.5625,23.125,21.9375,22.28125,77619200
105,2000-12-29,21.96875,22.90625,21.5,21.6875,99977600
106,2001-01-02,22.0625,22.5,21.4375,21.6875,82413200
107,2001-01-03,21.59375,24.4375,21.5625,23.96875,135962200
108,2001-01-04,23.90625,25.25,23.4375,24.21875,112397000
109,2001-01-05,24.25,24.9375,23.78125,24.5625,93414600
110,2001-01-08,24.46875,24.875,23.34375,24.46875,79817600
111,2001-01-09,25.0,26.3125,24.875,25.90625,114965400
112,2001-01-10,25.5,26.90625,25.375,26.4375,90230200
113,2001-01-11,26.5,27.875,26.15625,27.5,101854800
114,2001-01-12,27.4375,27.5,26.25,26.75,73712000
115,2001-01-16,26.6875,26.75,25.5625,26.28125,68462400
116,2001-01-17,26.8125,27.4375,26.28125,26.46875,72844200
117,2001-01-18,26.84375,28.09375,26.3125,27.75,109788800
118,2001-01-19,30.0,30.71875,29.4375,30.5,209348800
119,2001-01-22,30.375,30.5,29.5,30.0625,76673000
120,2001-01-23,29.875,30.46875,29.46875,30.28125,70295200
121,2001-01-24,30.5,31.71875,30.375,31.46875,110455000
122,2001-01-25,31.375,32.0,30.78125,30.90625,85657400
123,2001-01-26,30.5,32.15625,30.5,32.0,93080000
124,2001-01-29,31.78125,32.3125,31.75,32.25,84983800
125,2001-01-30,32.25,32.375,31.4375,31.6875,57276800
126,2001-01-31,31.5,31.875,30.5,30.53125,81898800
127,2001-02-01,30.40625,31.3125,30.1875,31.1875,71792800
128,2001-02-02,31.25,31.6875,30.375,30.40625,71100000
129,2001-02-05,30.375,31.03125,30.125,30.96875,51399200
130,2001-02-06,31.03125,31.90625,30.84375,31.28125,96442000
131,2001-02-07,31.0,32.53125,30.90625,32.34375,126061800
132,2001-02-08,31.875,32.25,31.0,31.125,88041200
133,2001-02-09,30.65625,30.78125,29.25,29.5625,100575200
134,2001-02-12,29.40625,29.71875,28.59375,29.375,71289400
135,2001-02-13,29.8125,30.53125,29.0625,29.09375,76070600
136,2001-02-14,28.8125,29.5,28.1875,29.1875,61728400
137,2001-02-15,29.5,30.09375,28.9375,29.40625,65627800
138,2001-02-16,28.5,29.125,28.0625,28.65625,66958400
139,2001-02-20,28.6875,29.125,27.6875,27.9375,60730800
140,2001-02-21,27.625,29.03125,27.59375,28.125,63947200
141,2001-02-22,28.15625,28.40625,26.9375,27.59375,100816400
142,2001-02-23,27.21875,28.75,27.15625,28.375,92620600
143,2001-02-26,28.8125,29.96875,28.6875,29.78125,87936800
144,2001-02-27,29.6875,30.59375,29.3359375,29.6875,99148600
145,2001-02-28,29.78125,30.0390625,29.09375,29.5,84608400
146,2001-03-01,29.28125,29.75,28.125,29.6796875,81781600
147,2001-03-02,28.75,29.0625,28.21875,28.34375,79800800
148,2001-03-05,28.625,29.3125,28.28125,28.71875,49383600
149,2001-03-06,29.3125,30.0,29.1875,29.71875,66781800
150,2001-03-07,29.9375,30.5625,29.65625,30.34375,59743600
151,2001-03-08,30.15625,30.296875,29.21875,29.625,54626000
152,2001-03-09,28.96875,29.09375,27.4375,28.34375,103794400
153,2001-03-12,27.34375,27.5,25.8125,25.96875,114376000
154,2001-03-13,26.09375,27.375,26.0,27.09375,91035600
155,2001-03-14,26.25,27.625,26.09375,27.0,90686200
156,2001-03-15,27.65625,28.0390625,26.75,26.84375,71638400
157,2001-03-16,26.25,27.5625,26.2421875,27.28125,112848800
158,2001-03-19,27.25,27.75,26.5625,27.15625,61036400
159,2001-03-20,27.28125,28.0625,26.3125,26.34375,91822800
160,2001-03-21,26.125,26.625,24.875,25.03125,124988600
161,2001-03-22,25.28125,27.03125,25.25,27.0,126363200
162,2001-03-23,27.46875,28.5,27.1875,28.28125,99519600
163,2001-03-26,28.5625,28.75,27.78125,28.03125,63118600
164,2001-03-27,28.03125,29.28125,27.9375,29.125,95135600
165,2001-03-28,28.6875,28.96875,27.6875,27.78125,78681600
166,2001-03-29,27.6875,28.59375,27.28125,27.6875,86985000
167,2001-03-30,27.875,28.09375,26.9375,27.34375,91201600
168,2001-04-02,27.40625,28.46875,27.3125,27.90625,75924000
169,2001-04-03,27.65625,27.65625,26.375,26.6875,94187600
170,2001-04-04,26.6875,27.5,25.53125,25.96875,104046600
171,2001-04-05,26.875,28.6875,26.75,28.375,113364000
172,2001-04-06,28.1875,28.59375,27.53125,28.09375,92622000
173,2001-04-09,28.28499984741211,28.709999084472656,27.829999923706055,28.575000762939453,56295600
174,2001-04-10,28.975000381469727,30.045000076293945,28.889999389648438,29.84000015258789,109199400
175,2001-04-11,30.325000762939453,30.75,29.850000381469727,30.020000457763672,109879600
176,2001-04-12,29.780000686645508,31.155000686645508,29.674999237060547,31.09000015258789,87520000
177,2001-04-16,30.700000762939453,30.790000915527344,30.059999465942383,30.395000457763672,65857400
178,2001-04-17,30.260000228881836,31.05500030517578,30.020000457763672,30.739999771118164,85149200
179,2001-04-18,31.69499969482422,33.154998779296875,31.5,32.71500015258789,156696400
180,2001-04-19,32.904998779296875,34.5,32.875,34.02000045776367,159375600
181,2001-04-20,35.150001525878906,35.54999923706055,34.25,34.5,192919600
182,2001-04-23,34.05500030517578,34.23500061035156,33.45000076293945,34.125,92171200
183,2001-04-24,34.099998474121094,34.96500015258789,33.56999969482422,33.775001525878906,89176600
184,2001-04-25,33.78499984741211,34.89500045776367,33.625,34.845001220703125,76744000
185,2001-04-26,35.03499984741211,35.5,34.125,34.564998626708984,118737600
186,2001-04-27,34.76499938964844,34.84000015258789,33.10499954223633,33.560001373291016,121572400
187,2001-04-30,34.26499938964844,34.529998779296875,33.84000015258789,33.875,74368200
188,2001-05-01,33.83000183105469,35.150001525878906,33.79999923706055,35.084999084472656,83702800
189,2001-05-02,35.5,35.57500076293945,34.67499923706055,34.880001068115234,92864400
190,2001-05-03,34.625,35.09000015258789,34.06999969482422,34.26499938964844,66273400
191,2001-05-04,34.0,35.525001525878906,33.97999954223633,35.375,119538400
192,2001-05-07,35.415000915527344,36.07500076293945,35.349998474121094,35.689998626708984,109356200
193,2001-05-08,35.875,36.04999923706055,35.375,36.029998779296875,75084000
194,2001-05-09,35.619998931884766,35.650001525878906,34.93000030517578,35.20000076293945,76676600
195,2001-05-10,35.564998626708984,35.619998931884766,34.97999954223633,35.0,64334600
196,2001-05-11,34.97999954223633,35.0,34.32500076293945,34.70000076293945,51128800
197,2001-05-14,34.564998626708984,34.599998474121094,34.150001525878906,34.36000061035156,44968000
198,2001-05-15,34.369998931884766,34.650001525878906,34.0,34.1349983215332,61385600
199,2001-05-16,33.849998474121094,34.939998626708984,33.665000915527344,34.58000183105469,91893800
200,2001-05-17,34.54999923706055,35.06999969482422,33.775001525878906,34.084999084472656,106984800
201,2001-05-18,33.845001220703125,34.599998474121094,33.625,34.04499816894531,90605400
202,2001-05-21,34.025001525878906,34.994998931884766,33.875,34.39500045776367,103491600
203,2001-05-22,34.724998474121094,35.17499923706055,34.59000015258789,35.154998779296875,83455600
204,2001-05-23,35.19499969482422,35.79999923706055,34.755001068115234,34.849998474121094,93637400
205,2001-05-24,34.970001220703125,35.88999938964844,34.6349983215332,35.86000061035156,80781600
206,2001-05-25,35.83000183105469,35.95000076293945,35.18000030517578,35.45500183105469,52747600
207,2001-05-29,35.400001525878906,35.875,35.025001525878906,35.16999816894531,71210800
208,2001-05-30,34.779998779296875,35.290000915527344,34.32500076293945,34.595001220703125,86501800
209,2001-05-31,34.744998931884766,35.189998626708984,34.20000076293945,34.59000015258789,70682600
210,2001-06-01,34.79999923706055,35.349998474121094,34.349998474121094,35.16999816894531,57587600
211,2001-06-04,35.275001525878906,35.5099983215332,34.900001525878906,35.38999938964844,43736600
212,2001-06-05,35.380001068115234,36.540000915527344,35.25,36.29999923706055,89454200
213,2001-06-06,36.44499969482422,36.7400016784668,35.775001525878906,36.18000030517578,80022800
214,2001-06-07,36.060001373291016,36.8650016784668,36.040000915527344,36.84000015258789,66960000
215,2001-06-08,36.849998474121094,36.875,36.025001525878906,36.595001220703125,51867000
216,2001-06-11,36.42499923706055,36.42499923706055,35.755001068115234,36.060001373291016,47345600
217,2001-06-12,35.5099983215332,36.20500183105469,35.404998779296875,36.040000915527344,66714600
218,2001-06-13,36.025001525878906,36.150001525878906,35.31999969482422,35.345001220703125,55302400
219,2001-06-14,35.11000061035156,35.275001525878906,34.20000076293945,34.45000076293945,71972400
220,2001-06-15,33.755001068115234,34.150001525878906,33.20000076293945,34.0099983215332,108354400
221,2001-06-18,33.974998474121094,33.97999954223633,33.005001068115234,33.439998626708984,56846800
222,2001-06-19,34.10499954223633,34.42499923706055,33.42499923706055,33.65999984741211,63457400
223,2001-06-20,33.56999969482422,34.79499816894531,33.54999923706055,34.70500183105469,64108400
224,2001-06-21,34.57500076293945,35.275001525878906,34.459999084472656,34.91999816894531,69603800
225,2001-06-22,35.0,35.30500030517578,34.290000915527344,34.415000915527344,51092000
226,2001-06-25,34.54999923706055,34.904998779296875,33.8849983215332,34.42499923706055,49215600
227,2001-06-26,33.90999984741211,35.10499954223633,33.849998474121094,35.06999969482422,63077000
228,2001-06-27,34.93000030517578,35.76499938964844,34.68000030517578,35.56999969482422,69199800
229,2001-06-28,35.775001525878906,38.07500076293945,35.26499938964844,36.369998931884766,128975600
230,2001-06-29,36.29999923706055,36.70500183105469,35.70000076293945,36.5,94283800
231,2001-07-02,36.025001525878906,36.57500076293945,35.07500076293945,35.29999923706055,72810200
232,2001-07-03,35.150001525878906,35.400001525878906,34.96500015258789,35.23500061035156,28037400
233,2001-07-05,35.11000061035156,35.36000061035156,34.220001220703125,34.255001068115234,49242600
234,2001-07-06,34.150001525878906,34.20000076293945,32.834999084472656,33.029998779296875,67467800
235,2001-07-09,33.099998474121094,33.45500183105469,32.52000045776367,32.845001220703125,66476600
236,2001-07-10,32.95000076293945,33.125,32.17499923706055,32.2400016784668,66562600
237,2001-07-11,32.10499954223633,33.375,32.099998474121094,33.25,73822600
238,2001-07-12,35.349998474121094,36.025001525878906,35.165000915527344,35.79999923706055,128078000
239,2001-07-13,35.70000076293945,36.0,35.470001220703125,35.66999816894531,58934600
240,2001-07-16,35.724998474121094,36.08000183105469,35.07500076293945,35.59000015258789,55990800
241,2001-07-17,35.33000183105469,36.005001068115234,35.06999969482422,35.90999984741211,63241000
242,2001-07-18,35.29999923706055,35.75,34.935001373291016,35.28499984741211,57590800
243,2001-07-19,35.61000061035156,36.5,35.61000061035156,36.28499984741211,76549400
244,2001-07-20,34.01499938964844,34.70000076293945,33.970001220703125,34.59000015258789,124203600
245,2001-07-23,34.619998931884766,34.619998931884766,33.17499923706055,33.54499816894531,79999400
246,2001-07-24,33.5,33.994998931884766,32.849998474121094,33.15999984741211,67530200
247,2001-07-25,33.130001068115234,33.7599983215332,32.80500030517578,33.7400016784668,74065400
248,2001-07-26,33.560001373291016,33.65999984741211,32.75,33.29499816894531,77974000
249,2001-07-27,33.025001525878906,33.125,32.525001525878906,32.73500061035156,65396000
250,2001-07-30,32.82500076293945,33.439998626708984,32.77000045776367,32.900001525878906,42196400
251,2001-07-31,33.005001068115234,33.69499969482422,32.92499923706055,33.095001220703125,59031600
252,2001-08-01,33.400001525878906,33.404998779296875,32.880001068115234,33.23500061035156,55679000
253,2001-08-02,33.60499954223633,33.77000045776367,33.130001068115234,33.724998474121094,54198400
254,2001-08-03,33.650001525878906,33.68000030517578,33.0,33.44499969482422,43260400
255,2001-08-06,33.26499938964844,33.560001373291016,32.84000015258789,33.064998626708984,27831600
256,2001-08-07,33.02000045776367,33.525001525878906,32.994998931884766,33.17499923706055,31347800
257,2001-08-08,33.255001068115234,33.619998931884766,32.244998931884766,32.43000030517578,54996400
258,2001-08-09,32.4900016784668,32.775001525878906,32.150001525878906,32.505001068115234,45536200
259,2001-08-10,32.3849983215332,32.93000030517578,31.450000762939453,32.7599983215332,51756400
260,2001-08-13,32.619998931884766,32.994998931884766,32.375,32.915000915527344,32675400
261,2001-08-14,32.875,33.04499816894531,32.224998474121094,32.345001220703125,36481200
262,2001-08-15,32.35499954223633,32.525001525878906,31.600000381469727,31.600000381469727,39503000
263,2001-08-16,31.420000076293945,32.35499954223633,31.350000381469727,32.310001373291016,43905600
264,2001-08-17,31.889999389648438,32.064998626708984,30.75,30.940000534057617,52234200
265,2001-08-20,30.829999923706055,31.375,30.549999237060547,31.350000381469727,48371200
266,2001-08-21,31.350000381469727,31.600000381469727,30.354999542236328,30.389999389648438,47111800
267,2001-08-22,30.565000534057617,30.575000762939453,29.540000915527344,30.329999923706055,78107200
268,2001-08-23,30.334999084472656,30.764999389648438,29.5,29.559999465942383,51813200
269,2001-08-24,29.799999237060547,31.139999389648438,29.614999771118164,31.024999618530273,63399000
270,2001-08-27,30.950000762939453,31.68000030517578,30.78499984741211,31.155000686645508,44562800
271,2001-08-28,31.170000076293945,31.475000381469727,30.290000915527344,30.3700008392334,47422800
272,2001-08-29,30.524999618530273,30.649999618530273,29.770000457763672,30.125,48170000
273,2001-08-30,29.520000457763672,29.829999923706055,28.260000228881836,28.469999313354492,97632000
274,2001-08-31,28.424999237060547,29.030000686645508,28.149999618530273,28.524999618530273,57900800
275,2001-09-04,28.594999313354492,29.540000915527344,28.03499984741211,28.049999237060547,67189200
276,2001-09-05,28.09000015258789,29.19499969482422,27.69499969482422,28.8700008392334,89470600
277,2001-09-06,28.280000686645508,29.19499969482422,27.950000762939453,28.010000228881836,112356800
278,2001-09-07,28.05500030517578,28.68000030517578,27.655000686645508,27.700000762939453,89863800
279,2001-09-10,27.459999084472656,28.975000381469727,27.350000381469727,28.790000915527344,84471800
280,2001-09-17,27.010000228881836,27.549999237060547,26.399999618530273,26.454999923706055,127502000
281,2001-09-18,26.704999923706055,27.5,26.584999084472656,27.15999984741211,83182600
282,2001-09-19,27.229999542236328,27.350000381469727,25.299999237060547,26.934999465942383,126950200
283,2001-09-20,26.174999237060547,26.30500030517578,25.334999084472656,25.3799991607666,117983200
284,2001-09-21,23.959999084472656,25.299999237060547,23.75,24.854999542236328,184976600
285,2001-09-24,25.325000762939453,26.225000381469727,24.934999465942383,26.0049991607666,85580200
286,2001-09-25,26.135000228881836,26.5,25.079999923706055,25.649999618530273,84940600
287,2001-09-26,25.7549991607666,25.899999618530273,24.774999618530273,25.135000228881836,58524400
288,2001-09-27,25.049999237060547,25.34000015258789,24.0,24.979999542236328,81191200
289,2001-09-28,24.809999465942383,25.795000076293945,24.489999771118164,25.584999084472656,116641200
290,2001-10-01,25.469999313354492,26.25,25.204999923706055,25.895000457763672,69999600
291,2001-10-02,25.815000534057617,26.774999618530273,25.780000686645508,26.524999618530273,80860800
292,2001-10-03,26.239999771118164,28.46500015258789,26.200000762939453,28.114999771118164,97199200
293,2001-10-04,28.459999084472656,29.200000762939453,28.104999542236328,28.219999313354492,101778000
294,2001-10-05,28.079999923706055,29.0,27.469999313354492,28.860000610351562,80844400
295,2001-10-08,28.399999618530273,29.325000762939453,28.3700008392334,29.020000457763672,60605800
296,2001-10-09,28.75,28.78499984741211,27.094999313354492,27.280000686645508,99477600
297,2001-10-10,26.799999237060547,27.875,26.5,27.7549991607666,86349200
