,date,open,high,low,close,volume
0,2000-08-01,28.0,30.0,27.6875,29.375,15932400
1,2000-08-02,29.6875,29.8125,28.8125,29.09375,9127000
2,2000-08-03,29.21875,29.53125,28.90625,29.03125,5004600
3,2000-08-04,29.03125,29.03125,28.5625,28.6875,4710200
4,2000-08-07,28.65625,28.875,28.5,28.5625,4082800
5,2000-08-08,28.5,28.5,28.125,28.25,5072400
6,2000-08-09,28.28125,28.375,28.0,28.15625,6841600
7,2000-08-10,28.28125,28.46875,28.15625,28.40625,3769400
8,2000-08-11,28.4375,29.25,28.21875,29.125,5727400
9,2000-08-14,29.15625,29.84375,29.03125,29.625,6100200
10,2000-08-15,29.875,31.375,29.78125,31.375,15182000
11,2000-08-16,31.0,31.46875,30.625,31.375,8558200
12,2000-08-17,31.25,31.34375,30.75,31.125,6430000
13,2000-08-18,31.125,31.59375,31.0625,31.5,7448400
14,2000-08-21,31.59375,31.71875,31.5,31.59375,3784200
15,2000-08-22,31.71875,32.15625,31.6875,32.0625,6165600
16,2000-08-23,32.03125,32.25,31.9375,32.15625,3967400
17,2000-08-24,32.125,32.125,31.0625,31.46875,8534200
18,2000-08-25,31.0625,31.375,30.6875,31.375,6586000
19,2000-08-28,31.375,31.625,31.15625,31.375,4082400
20,2000-08-29,31.5,31.5,31.09375,31.25,3541200
21,2000-08-30,31.03125,31.15625,30.78125,31.03125,3840600
22,2000-08-31,30.9375,31.125,30.6875,30.9140625,5414600
23,2000-09-01,30.8125,30.84375,30.5,30.6875,4314000
24,2000-09-05,30.71875,31.34375,30.5625,31.25,4975200
25,2000-09-06,31.375,32.1875,31.25,31.71875,11835000
26,2000-09-07,31.84375,31.90625,31.28125,31.3125,5867800
27,2000-09-08,31.375,31.75,31.3125,31.71875,6683600
28,2000-09-11,31.65625,31.875,31.1875,31.34375,4906600
29,2000-09-12,31.28125,31.65625,31.15625,31.53125,4787400
30,2000-09-13,31.5,31.5,31.0625,31.25,4186000
31,2000-09-14,30.90625,31.125,30.03125,30.6484375,12514200
32,2000-09-15,31.21875,31.53125,30.96875,31.25,9089400
33,2000-09-18,30.96875,31.25,30.5,31.0625,7709000
34,2000-09-19,30.9375,31.21875,30.65625,30.75,5732000
35,2000-09-20,30.5,30.90625,30.25,30.90625,7455800
36,2000-09-21,30.78125,31.6875,30.75,31.4375,7402200
37,2000-09-22,31.625,32.1875,31.5,31.9375,8796800
38,2000-09-25,32.03125,32.03125,31.09375,31.5625,6810200
39,2000-09-26,31.53125,31.65625,30.21875,30.875,13506200
40,2000-09-27,30.8125,31.1875,30.0625,30.875,9776000
41,2000-09-28,30.75,33.90625,30.53125,33.46875,30100800
42,2000-09-29,33.5,33.84375,33.21875,33.5,10724400
43,2000-10-02,33.53125,34.03125,33.28125,34.03125,7292800
44,2000-10-03,34.0,34.84375,33.90625,34.40625,8274800
45,2000-10-04,34.3125,35.34375,34.28125,35.0625,10373400
46,2000-10-05,35.9375,36.59375,35.75,36.5,13064400
47,2000-10-06,36.5625,37.4375,36.375,36.96875,9413400
48,2000-10-09,36.5,36.78125,36.21875,36.4375,4963800
49,2000-10-10,36.25,36.5,36.03125,36.21875,5001200
50,2000-10-11,36.125,37.0,36.0625,36.75,7388600
51,2000-10-12,36.625,37.21875,36.21875,36.8125,7665200
