,date,open,high,low,close,volume
0,2000-08-01,44.125,44.5,43.75,44.25,847800
1,2000-08-02,43.875,44.1875,43.625,44.0625,1154700
2,2000-08-03,44.0,45.3125,43.625,45.0625,1259100
3,2000-08-04,45.0,47.6875,44.875,47.25,1594900
4,2000-08-07,46.75,49.5625,46.75,48.25,1592200
5,2000-08-08,48.25,48.5,47.3125,48.375,1416200
6,2000-08-09,48.0,48.125,46.125,47.5,1199100
7,2000-08-10,46.75,48.0,46.75,47.3125,1155000
8,2000-08-11,47.5625,47.8125,47.0,47.75,581700
9,2000-08-14,47.5,47.9375,47.0625,47.6875,1072700
10,2000-08-15,47.4375,47.75,46.5,47.0,785900
11,2000-08-16,46.875,46.9375,46.125,46.3125,617100
12,2000-08-17,45.5,47.1875,45.5,46.9375,686000
13,2000-08-18,46.5,47.375,46.375,47.125,567900
14,2000-08-21,47.75,48.0625,47.625,47.875,904800
15,2000-08-22,47.625,48.1875,47.3125,47.8125,637100
16,2000-08-23,47.625,48.3125,46.125,46.6875,820400
17,2000-08-24,46.625,47.0625,46.5625,46.8125,492000
18,2000-08-25,46.3125,46.875,45.5625,45.8125,526600
19,2000-08-28,45.5625,46.8125,45.5625,46.375,438400
20,2000-08-29,46.75,46.75,45.6875,46.25,632000
21,2000-08-30,46.3125,47.5625,46.25,47.25,742900
22,2000-08-31,47.0,48.125,47.0,47.515625,736500
23,2000-09-01,47.3125,48.0,46.5,46.8125,559600
24,2000-09-05,46.375,47.5,46.25,47.125,490200
25,2000-09-06,47.25,48.5,47.25,48.3125,675100
26,2000-09-07,48.3125,48.4375,47.125,48.375,904300
27,2000-09-08,48.375,49.5,48.375,49.3125,2714000
28,2000-09-11,49.0,50.875,49.0,50.625,858800
29,2000-09-12,50.125,50.625,49.4375,49.75,706700
30,2000-09-13,50.0,51.3125,48.5,48.5,5712400
31,2000-09-14,48.6875,50.9375,48.25,49.4375,2134000
32,2000-09-15,49.6875,50.0625,48.3125,48.8125,1445300
33,2000-09-18,48.0,48.375,46.6875,46.75,819800
34,2000-09-19,46.9375,48.875,46.875,48.625,932200
35,2000-09-20,48.875,48.875,47.25,47.75,688100
36,2000-09-21,48.25,48.5625,48.0,48.3125,765800
37,2000-09-22,49.0,50.5625,48.8125,50.5625,1032300
38,2000-09-25,50.75,50.875,49.375,49.5,677700
39,2000-09-26,49.0,49.9375,49.0,49.4375,602300
40,2000-09-27,49.25,49.75,49.25,49.6875,442200
41,2000-09-28,49.25,50.5,49.0,50.4375,1132000
42,2000-09-29,50.6875,51.0625,49.3125,50.375,665500
43,2000-10-02,49.3125,50.125,48.875,50.0625,1136600
44,2000-10-03,50.0,50.0,48.6875,48.9375,628900
45,2000-10-04,49.1875,49.6875,48.0,48.1875,671800
46,2000-10-05,47.75,49.375,47.75,48.375,537600
47,2000-10-06,48.0,48.4375,45.9375,46.8125,1001200
48,2000-10-09,46.0,46.1875,45.5,45.8125,391100
49,2000-10-10,45.875,46.1875,43.9375,44.0625,1055600
50,2000-10-11,43.375,45.75,43.1875,45.5,1312900
51,2000-10-12,45.5,45.5,43.5,44.5625,1109000
52,2000-10-13,44.3125,46.375,44.3125,46.0,904800
53,2000-10-16,46.125,46.5,45.75,46.1875,492300
54,2000-10-17,46.0,47.0625,45.8125,46.0,675500
55,2000-10-18,46.0625,46.0625,44.75,45.5,772400
56,2000-10-19,45.8125,47.25,45.75,46.875,559900
57,2000-10-20,46.875,48.0,46.875,47.1875,349200
58,2000-10-23,47.4375,48.125,47.0,47.875,495700
59,2000-10-24,48.5,50.1875,48.1875,49.8125,827100
60,2000-10-25,49.625,50.1875,49.0,49.75,647700
61,2000-10-26,49.9375,50.5,47.75,48.125,986100
62,2000-10-27,47.375,49.625,47.0,49.25,791000
