,date,open,high,low,close,volume
0,2000-08-01,31.3125,31.3125,30.1875,30.9375,2334300
1,2000-08-02,30.625,31.3125,30.5625,31.3125,1320200
2,2000-08-03,31.6875,31.8125,30.8125,31.0625,1784000
3,2000-08-04,31.0625,32.1875,30.8125,32.0,1712200
4,2000-08-07,31.9375,32.375,31.6875,31.875,1552800
5,2000-08-08,32.1875,32.875,32.0,32.875,1621700
6,2000-08-09,32.5625,32.6875,31.8125,32.25,1410600
7,2000-08-10,32.1875,32.375,32.0625,32.125,967000
8,2000-08-11,32.75,34.5,32.5,34.25,3671900
9,2000-08-14,34.25,34.6875,33.75,34.1875,2269200
10,2000-08-15,34.0,34.0625,31.6875,31.6875,2338600
11,2000-08-16,32.9375,33.25,32.875,33.0625,1932900
12,2000-08-17,33.5,34.1875,33.3125,33.5,2154900
13,2000-08-18,34.0,34.6875,33.8125,34.5,1619000
14,2000-08-21,34.5625,34.5625,33.625,34.1875,1009000
15,2000-08-22,34.5,34.5625,33.9375,34.5625,970800
16,2000-08-23,34.25,35.8125,33.8125,35.1875,2455400
17,2000-08-24,35.0,36.0,33.75,36.0,1340700
18,2000-08-25,35.25,35.25,34.125,34.6875,1294400
19,2000-08-28,34.3125,34.4375,33.6875,33.6875,1325900
20,2000-08-29,33.625,34.1875,33.125,33.875,1804100
21,2000-08-30,33.9375,34.0,33.5625,33.5625,1232900
22,2000-08-31,33.0,33.75,32.6875,32.890625,2274300
23,2000-09-01,32.9375,33.625,32.75,33.4375,1524900
24,2000-09-05,33.8125,34.125,33.375,33.9375,1610200
25,2000-09-06,34.1875,34.25,33.5,33.5625,1600100
26,2000-09-07,33.625,34.125,33.4375,33.625,2294400
27,2000-09-08,34.125,35.25,33.9375,35.1875,2104800
28,2000-09-11,35.1875,36.0,35.125,35.75,2055500
29,2000-09-12,36.0,37.875,36.0,37.875,3447000
30,2000-09-13,37.3125,39.0,37.0,37.875,3875800
31,2000-09-14,38.1875,38.6875,37.4375,38.375,2151700
32,2000-09-15,38.375,38.375,37.6875,38.1875,2144700
33,2000-09-18,38.4375,38.4375,37.875,38.0,1795800
34,2000-09-19,36.75,38.25,36.5,37.5,1612000
35,2000-09-20,37.75,38.0625,37.375,38.0,1866100
36,2000-09-21,38.25,39.25,38.1875,39.0,2732700
37,2000-09-22,39.1875,39.5625,38.9375,39.5625,2029800
38,2000-09-25,38.75,38.8125,37.5,38.1875,3493000
39,2000-09-26,37.5,37.9375,37.1875,37.6875,1989100
40,2000-09-27,37.75,38.3125,37.4375,37.625,1618200
41,2000-09-28,37.625,38.5,37.625,38.0,1835100
42,2000-09-29,37.5,38.1875,37.5,37.9375,2509800
43,2000-10-02,37.4375,37.75,36.75,37.125,1945100
44,2000-10-03,36.8125,37.25,36.8125,37.125,1757400
45,2000-10-04,37.25,37.9375,37.1875,37.75,2461100
46,2000-10-05,37.3125,39.1875,37.25,39.1875,2201500
47,2000-10-06,38.75,39.0,37.625,37.875,1978200
48,2000-10-09,37.9375,38.375,37.875,38.0,1234700
49,2000-10-10,38.75,39.125,38.125,39.125,1971400
50,2000-10-11,39.375,40.125,39.1875,39.6875,2721400
51,2000-10-12,39.6875,40.0,39.3125,39.625,2404300
52,2000-10-13,39.5,39.625,39.0,39.125,2732900
53,2000-10-16,39.375,40.25,39.25,40.125,1695500
54,2000-10-17,40.5,40.8125,40.125,40.375,2053200
55,2000-10-18,40.5,41.75,40.0,41.625,2964400
56,2000-10-19,40.5,41.0625,39.75,40.0,3179000
57,2000-10-20,40.0,40.25,39.0,39.3125,2039100
58,2000-10-23,39.4375,40.625,39.3125,40.4375,1922600
59,2000-10-24,41.0,42.0,40.8125,42.0,3011700
60,2000-10-25,41.5,41.5,40.25,40.25,2285200
61,2000-10-26,40.625,42.1875,40.625,41.75,2189800
62,2000-10-27,41.625,43.1875,41.25,43.125,2949500
63,2000-10-30,43.1875,45.0625,42.5,44.375,3589800
64,2000-10-31,44.25,45.75,43.8125,45.625,2650300
65,2000-11-01,44.0625,44.4375,43.5625,43.9375,3837700
66,2000-11-02,43.0,44.1875,41.75,44.1875,4616400
67,2000-11-03,43.5,44.0,42.0625,44.0,3073800
68,2000-11-06,43.375,43.9375,42.8125,43.9375,1800700
69,2000-11-07,43.75,43.75,42.75,43.25,2098400
70,2000-11-08,43.0,43.0625,42.375,42.875,1606700
71,2000-11-09,42.9375,43.375,42.5,43.0625,2860500
72,2000-11-10,43.0,43.4375,42.5625,42.875,1813800
73,2000-11-13,42.75,43.5,42.0,42.9375,2021400
74,2000-11-14,42.25,43.1875,41.75,42.875,3289200
75,2000-11-15,42.875,43.0625,41.8125,42.3125,2268100
76,2000-11-16,42.3125,42.5,41.6875,41.875,2194200
77,2000-11-17,41.75,41.8125,41.0,41.3125,2222300
78,2000-11-20,41.3125,41.6875,41.125,41.25,1277600
